Synonym1,Pivot Term,,,,,,
pan-fried,food (pan-fried),FOODON_00002463,,,,NewlyAdded,
"pickled, with vinegar","food (pickled, with vinegar)",FOODON_03315365,,,,NewlyAdded,
"precooked, frozen","food (precooked, frozen)",FOODON_03305323,,,,NewlyAdded,
raw,food (raw),FOODON_03311126,,,,NewlyAdded,
ready-to-cook,food (ready-to-cook),FOODON_03316637,,,,NewlyAdded,
sliced,food (sliced),FOODON_00002455,,,,NewlyAdded,
smoked,food (smoked),FOODON_03310311,,,,NewlyAdded,
starch or flour thickened,food (starch or flour thickened),FOODON_03315268,,,,NewlyAdded,
sugar-free,food (sugar-free),FOODON_03315838,,,,NewlyAdded,
unprocessed,food (unprocessed),FOODON_03316056,,,,NewlyAdded,
unstandardized,food (unstandardized),FOODON_03315636,,,,NewlyAdded,
ready-to-serve,food (ready-to-serve),FOODON_03316636,,,,NewlyAdded,
acidified,food (acidified),FOODON_03301625,,,,NewlyAdded,
artificially colored,food (artificially colored),FOODON_03301198,,,,NewlyAdded,
baked,food (baked),FOODON_00002456,,,,NewlyAdded,
barbequed,food (barbequed),FOODON_03301942,,,,NewlyAdded,
canned,food (canned),FOODON_00002418,,,,NewlyAdded,
packed in high pressurised containers,food (packed in high pressurised containers),FOODON_03317139,,,,NewlyAdded,
carbohydrate reduced,food (carbohydrate reduced),FOODON_03315824,,,,NewlyAdded,
charcoal-broiled,food (charcoal-broiled),FOODON_03302889,,,,NewlyAdded,
deep-fried,food (deep-fried),FOODON_03307052,,,,NewlyAdded,
"dried, powdered","food (dried, powdered)",FOODON_03315917,,,,NewlyAdded,
freeze-dried,food (freeze-dried),FOODON_03301752,,,,NewlyAdded,
fresh,food (fresh),FOODON_00002457,,,,NewlyAdded,
heat treated,food (heat treated),FOODON_03316043,,,,NewlyAdded,
home-canned,food (home-canned),FOODON_03311046,,,,NewlyAdded,
irradiated,food (irradiated),FOODON_03305364,,,,NewlyAdded,
organically grown,food (organically grown),FOODON_03306690,,,,NewlyAdded,
NRTE,"food, not ready to eat",,,,,NewlyAdded,
RTE,"food, ready to eat",,,,,NewlyAdded,
curry,curry (dish),,,,,NewlyAdded,
pimento,allspice,,,,,,
bok choy,Chinese cabbage,,,,,NewlyAdded,
sea lion,sealion,,,,,NewlyAdded,
sea gull,gull,,,,,NewlyAdded,
swiss sandwich,swiss cheese sandwich,,,,,NewlyAdded,
tri-tip,cut of beef,,,,,NewlyAdded,
girrafe,girrafa,,,,,NewlyAdded,
Meleagris,turkey,,,,,NewlyAdded,
psittacine,parrot,,,,,NewlyAdded,
cantaloupe melon,cantaloupe,,,,,NewlyAdded,
cow,dairy cow,,,,,NewlyAdded,
human,homo sapiens,,,,,NewlyAdded,
freezing,food (frozen),FOODON_03302148,,,,NewlyAdded,
frozen,food (frozen),FOODON_03302148,,,,New,
breading,food (breaded),,,,,New,
breaded,food (breaded),,,,,New,acidified
broiling,food (broiled),,,,,New,artificially colored
broiled,food (broiled),,,,,New,baked
grilling,food (grilled),,,,,New,barbequed
grilled,food (grilled),,,,,New,canned
chilling,food (chilled),,,,,New,
milk,milk or milk component ,,,,,New,carbohydrate reduced
milk component,milk or milk component ,,,,,New,charcoal-broiled
chilled,food (chilled),,,,,New,
batter-coated,food (batter-coated),,,,,,
batter-coating,food (batter-coated),,,,,New,deep-fried
cooking,food (cooked),FOODON_00001181,,,,New,dried
cooked,food (cooked),FOODON_00001181,,,,New,"dried, powdered"
dehydrated,food (dehydrated),,,,,New,fermented
dehydrating,food (dehydrated),,,,,New,freeze-dried
dried,food (dried),FOODON_03307539,,,,New,fresh
drying,food (dried),FOODON_03307539,,,,New,
fermented,food (fermented),FOODON_00001258,,,,New,heat treated
fermenting,food (fermented),FOODON_00001258,,,,New,home-canned
modified,food (modified),,??,,,New,irradiated
modifying,food (modified),,??,,,New,organically grown
flavored,food (flavored),,,,,New,packed in high pressurised containers
flavoring,food (flavored),,,,,New,pan-fried
flavoured,food (flavored),,,,,New,"pickled, with vinegar"
flavouring,food (flavored),,,,,New,"precooked, frozen"
filling,food (filled),,,,,New,raw
filled,food (filled),,,,,New,ready-to-cook
hydrolyzed,food (hydrolyzed),,,,,New,sliced
hydrolyzing,food (hydrolyzed),,,,,New,smoked
pasteurized,food (pasteurized),,,,,New,starch or flour thickened
pasteurizing,food (pasteurized),,,,,New,sugar-free
pasturized,food (pasteurized),,,,,New,unprocessed
pasturizing,food (pasteurized),,,,,New,unstandardized
milled,food (milled),,,,,New,ready-to-serve
milling,food (milled),,,,,New,
peeled,food (peeled),,,,,New,
peeling,food (peeled),,,,,New,
puffed,food (puffed),,,,,New,
puffing,food (puffed),,,,,New,
smoked,food (smoked),,,,,New,
smoking,food (smoked),,,,,New,
spiced,food (spiced),,,,,New,
spicing,food (spiced),,,,,New,
steamed,food (steamed),,,,,New,
steaming,food (steamed),,,,,New,
stuffed,food (stuffed),,,,,New,
stuffing,food (stuffed),,,,,New,
texturized,food (texturized),,,,,New,
texturing,food (texturized),,,,,New,
toasted,food (toasted),,,,,New,
toasting,food (toasted),,,,,New,
treated,food (treated),,,,,New,
treatment,food (treated),,,,,New,
uncured,food (un preserved),,,,,,
gallstone,gall stone,,,,,,
BeefCarcTrim,Beef Carc Trim,,,,,,
seawater,sea water,,,,,,
Broccosprout,Brocco sprout,,,,,,
Freshwater,fresh water,,,,,,
Spongesicle,Sponge sicle,,,,,,
Sopressata,Soppressata,,,,,,
alame,salami,,,,,,
Celebes ape,Macaca nigra ,,,,,,
giraffe,Giraffa camelopardalis,,,,,,
citellus pygmaeus,Spermophilus pygmaeus,,,,,,
little ground squirrel,Spermophilus pygmaeus,,,,,,
little souslik,Spermophilus pygmaeus,,,,,,
Coprocultive,Coprocultivo,,,,,,
Coprocultivo,stool test,,,,,,
tomatillo,husk tomato,,,,,,
ampullariidae,apple snail,,,,,,
ready to eat,"food, ready-to-eat",,,,,,
not ready to eat,"food, not ready-to-eat",,,,,,
barbecue,barbeque,,,,,,
achiote,annatto,,,,,,
amber jack,amberjack,,,,,,
balsam pear,bitter melon,,,,,,
barbus altus,puntius bocourti,,,,,,
barbus altus,barbus foxi,,,,,,
batashi,pachypterus atherinoides,,,,,,
bell bean,broadbean,,,,,,
bisibelebath,bisi bele bath,,,,,,
bitter gourd,bitter melon,,,,,,
bitter melon tea,cerassee tea,,,,,,
bitter squash,bitter melon,,,,,,
bittermelon tea,cerassee tea,,,,,,
black caraway,black cumin,,,,,,
blackpepper,black pepper,,,,,,
broad bean,broadbean,,,,,,
bush rat,rattus fuscipe,,,,,,
centralian blue tongued skink,tiliqua multifasciata,,,,,,
cerase tea,cerassee tea,,,,,,
Cerassie tea,cerassee tea,,,,,,
cerrasse tea,cerassee tea,,,,,,
cheetal,deer,,,,,,
chick,chicken,,,,,,
chicken cordon bleu,chicken cordon blue,,,,,,
chicken tender,chicken finger,,,,,,
chickenkiev,chicken kiev,,,,,,
chickenkiev,chicken kiev,,,,,,
chile arbol,chili pepper,,,,,,
chinemys nigricans,kwangtung river turtle,,,,,,
chital,deer,,,,,,
cilantro,coriander,,,,,,
cloacalswab,cloacal swab,,,,,,
cock,chicken,,,,,,
cockbird,chicken,,,,,,
Columba livia,pigeon,,,,,,
Columba livium,pigeon,,,,,,
cookies,cookie,,,,,,
cornflakes,corn flakes,,,,,,
cornmeal,corn meal,,,,,,
cuttle fish,cuttlefish,,,,,,
devil fish ,devilfish ,,,,,,
dani koral,dhanikoral fish,,,,,,
dietary supplement ,dietary food supplement ,,,,,,
doby fish,dobyfish,,,,,,
domestic,domesticus,,,,,,
domestic,domesticus,,,,,,
domestica,domesticus,,,,,,
drumstick,chicken drumstick,,,,,,
dug fish,dugfish,,,,,,
excreta,feces,,,,,,
excretum,feces,,,,,,
excretum,feces,,,,,,
faba bean,broadbean,,,,,,
faeces,feces,,,,,,
fava bean,broadbean,,,,,,
feather back,featherback,,,,,,
fecal,feces,,,,,,
feed supplement,food supplement or dietary integrator ,,,,,,
fennel flower,black cumin,,,,,,
field bean,broadbean,,,,,,
file fish,filefish,,,,,,
fishmeal,fish meal,,,,,,
food supplement ,food supplement or dietary integrator ,,,,,,
galda,galdafish,,,,,,
gold band,goldband,,,,,,
grounded,ground ,,,,,,
grounded,ground ,,,,,,
guajillo chili,guajillo pepper,,,,,,
gulsha fish,gulshafish,,,,,,
hemoculture,blood culture,,,,,,
hemoculture,blood culture,,,,,,
hilsa,tnualosa ilisha,,,,,,
hilsha,tnualosa ilisha,,,,,,
jalapeno,jalapeno pepper,,,,,,
japanese mustard greens,mizuna,,,,,,
kyona,mizuna,,,,,,
leafe,leaf,,,,,,
lunchmeat,lunch meat,,,,,,
malukhiyah,mouloukhia,,,,,,
meal supplement,food supplement or dietary integrator ,,,,,,
microgreen,vegetable,,,,,,
mloukhiya,mouloukhia,,,,,,
moelle osseuse de porc,pork marrow,,,,,,
molido,chili powder,,,,,,
molokhia,mouloukhia,,,,,,
molokhiya,mouloukhia,,,,,,
moroheiya ,mouloukhia,,,,,,
mulukhiyah,mouloukhia,,,,,,
mulukhiyya,mouloukhia,,,,,,
Naja haje,snake,,,,,,
nestling,bird,,,,,,
nigella sativa seed,black cumin,,,,,,
nigella seed,black cumin,,,,,,
nimco,snack,,,,,,
nutmeg flower,black cumin,,,,,,
pistacia vera l ,pistachio,,,,,,
pondwater,pond water,,,,,,
popano,pompano,,,,,,
puntius chola,swamp barb,,,,,,
puntius chola,chola barb,,,,,,
qian jing shui cai,mizuna,,,,,,
racoon,raccoon,,,,,,
river bard,riverbard,,,,,,
roman coriander,black cumin,,,,,,
rooster,chicken,,,,,,
sambar masala,spice powder,,,,,,
sand goanna,varanus gouldii,,,,,,
shari puti fish,shariputi fish,,,,,,
skink,lizard,,,,,,
slaughter,slaughterhouse,,,,,,
slaughter house,slaughterhouse,,,,,,
soymeat,soya meat,,,,,,
spider mustard,mizuna,,,,,,
striped bass,rockfish,,,,,,
Sus domesticus,sus scrofa domesticus,,,,,,
yellow fin,yellowfin tuna,,,,,,
tako yaki,takoyaki,,,,,,
tenticle,tentacle,,,,,,
tic bean,broadbean,,,,,,
tofu,bean curd,,,,,,
vicia faba,broadbean,,,,,,
water pond,pond,,,,,,
wild turkey,meleagris gallopavo,,,,,,
wildcaught,wild caught,,,,,,
yellowfin,yellowfin tuna,,,,,,
yogourt,yogurt,,,,,,
zaocus dhumnades,zaocys dhumnades,,,,,,
largemouth,large mouth,,,,,,
racoon,raccoon,,,,,,
zattar,za'atar,,,,,,
nantucket blend trail mix,raisin and nut mix ,,,,,,
franklin gull,leucophaeus pipixcan,,,,,,
nonmeat ,non meat ,,,,,,
mahi,mahi mahi ,,,,,,
helianthus camade ,helianthus ,,,,,,
stripe bass,striped bass,,,,,,
thread fish,threadfin,,,,,,
threadfish,threadfin,,,,,,
bloodmeal,blood meal,,,,,,
stripped bass,striped bass,,,,,,
cloacalswab,cloacal swab,,,,,,
cirrhinus cirrhosus,mrigal,,,,,,
mrigal carp,mrigal,,,,,,
white carp,mrigal,,,,,,
ancho,ancho pepper,,,,,,
red bell,red bell pepper,,,,,,
pasilla chile,dried chilaca pepper,,,,,,
chile negro ,dried chilaca pepper,,,,,,
chile pasilla ,dried chilaca pepper,,,,,,
cordon blue,cordon bleu,,,,,,
cynara scolymus,artichoke,,,,,,
dhani koral,dhanikoral fish,,,,,,
colossoma,tambaqui,,,,,,
colossoma macropomum,tambaqui,,,,,,
bluefin saku tuna ,bluefin tuna ,,,,,,
bluefin saku ,bluefin tuna ,,,,,,
bluefin tuna saku,bluefin tuna ,,,,,,
boletus edulis mushroom,boletus mushroom,,,,,,
brewer,brewers,,,,,,
clarias batrachus,walking catfish,,,,,,
dysphania ambrosioides,epazote,,,,,,
chenopodium ambrosioides,epazote,,,,,,
wormseed,epazote,,,,,,
Jesuit's tea,epazote,,,,,,
Mexican tea,epazote,,,,,,
payqu,epazote,,,,,,
herba sancti Mariæ,epazote,,,,,,
afang,ukanzi,,,,,,
cayenne chili,cayenne pepper,,,,,,
felis,Felis catus,,,,,,
feeder mice,feeder mouse,,,,,,
fancy mouse,feeder mouse,,,,,,
kitten,juvenile cat,,,,,,
galacto oligosaccharides,galactooligosaccharides,,,,,,
geochelone elegans,indian star tortoise,,,,,,
hasa hasa,short mackerel,,,,,,
hilsa padmar,tnualosa ilisha,,,,,,
colombian slider,trachemys callirostris,,,,,,
hicotea turtle,trachemys callirostris,,,,,,
cotton seed,cottonseed,,,,,,
king fish,kingfish,,,,,,
mashoq habbe sauda,klaunji powder,,,,,,
Pistacia vera L.,pistachio,,,,,,
larval,larval stage,,,,,,
nakaoachi,nakaochi,,,,,,
semi soft,semisoft,,,,,,
soy bean,soybean,,,,,,
soy,soybean,,,,,,
soya protein,soy protein,,,,,,
pandan,pandanus amaryllifolius,,,,,,
pandan screw palm,pandanus amaryllifolius,,,,,,
prima toast,toasted bread,,,,,,
owl,Strigiformes,,,,,,
palo azul,eysenhardtia polystachya,,,,,,
whisker sheat,whisker sheatfish,,,,,,
whisker fish,whisker sheatfish,,,,,,
nemipterus virgatus,golden threadfin bream,,,,,,
sting ray,stingray,,,,,,
swai fish,swaifish,,,,,,
swai,swaifish,,,,,,
stuff chicken breast,stuffed chicken breast,,,,,,
spinny goby,spiny goby,,,,,,
wattles,acacia genus,,,,,,
acacias,acacia genus,,,,,,
acacia,acacia genus,,,,,,
dahon ng saging,banana leaf,,,,,,
laurel leaves,bay leaf,,,,,,
procyon lotor,raccoon,,,,,,
monocled cobra,naja kaouthia,,,,,,
Indian cobra,naja naja,,,,,,
pectacled cobra,naja naja,,,,,,
Asian cobra,naja naja,,,,,,
binocellate cobra,naja naja,,,,,,
Egyptian cobra,naja haje,,,,,,
mrigel,mrigal,,,,,,
mamey,mamey sapote,,,,,,
mandarin,mandarinfish,,,,,,
manihot esculenta,cassava ,,,,,,
mandioka,cassava ,,,,,,
manioc,cassava ,,,,,,
yuca,cassava ,,,,,,
mandioca,cassava ,,,,,,
brazilian arrowroot,cassava ,,,,,,
wushe,zaocys dhumnades,,,,,,
cantor,zaocys dhumnades,,,,,,
wu shao she,zaocys dhumnades,,,,,,
manzanilla tea,chamomile tea ,,,,,,
tuna medallions,tuna medallion,,,,,,
feed mill,wheat millrun,,,,,,
wheat mill run,wheat millrun,,,,,,
wheat middlings,wheat millrun,,,,,,
millfeed,wheat millrun,,,,,,
wheat midds,wheat millrun,,,,,,
molassess,molasses,,,,,,
mola fish,molafish,,,,,,
mola mola,molafish,,,,,,
moilla fish,molafish,,,,,,
moila fish,molafish,,,,,,
moillafish,molafish,,,,,,
moilafish,molafish,,,,,,
mulukhiyah,nalta jute,,,,,,
mloukhiya,nalta jute,,,,,,
molokhia,nalta jute,,,,,,
molokhiya,nalta jute,,,,,,
mulukhiyya,nalta jute,,,,,,
malukhiyah,nalta jute,,,,,,
moroheiya,nalta jute,,,,,,
corchorus olitorius leaves,nalta jute,,,,,,
Jew's mallow,nalta jute,,,,,,
tossa jute,nalta jute,,,,,,
morita pepper,morita chili,,,,,,
mullen leaves,mullein leaves,,,,,,
murine,mouse,,,,,,
nigella seeds,black cumin seeds,,,,,,
nigella,black cumin,,,,,,
pork primal,pork primal cuts,,,,,,
piper nigrum,black pepper,,,,,,
ocopa,smooth sauce,,,,,,
aframomum melegueta ,alligator pepper,,,,,,
ossame,alligator pepper,,,,,,
grains of paradise,alligator pepper,,,,,,
melegueta pepper,alligator pepper,,,,,,
guinea grains,alligator pepper,,,,,,
fom wisa,alligator pepper,,,,,,
guinea pepper,alligator pepper,,,,,,
Herbs de Provence,Herb of Provence,,,,,,
whiteleg shrimp ,litopenaeus vannamei,,,,,,
white shrimp,litopenaeus vannamei,,,,,,
penaeus vannamei,litopenaeus vannamei,,,,,,
pacific white shrimp,litopenaeus vannamei,,,,,,
king prawn,litopenaeus vannamei,,,,,,
vannamei,litopenaeus vannamei,,,,,,
centella asiatica,asiatic pennywort,,,,,,
centella,asiatic pennywort,,,,,,
gotu kola,asiatic pennywort,,,,,,
