Bucket,Ontology ID,IFSAC class,,,,,,,,
animal,FOODON_00003004,animal,,,,,,,,
invertebrate animal,FOODON_00002452,animal,,needed because envo is missing its correct parents,,,,,,
vertebrate animal food product,FOODON_00001092,animal,,,,,,,,
vertebrate animal,FOODON_03411297,animal,,needed because envo is missing its correct parents,,,,,,
invertebrate animal food product,FOODON_00001176,animal,,,,,,,,
animal feed,ENVO_02000047,animal feed,,,,,,,,
food product for animal,FOODON_03309997,animal feed,,,,,,,,
pet treat,GENEPIO_0001056,animal feed,,,,,,,,
plant feed,ENVO_02000055,animal feed,,,,,,,,
silage,ENVO_00003030,animal feed,,,,,,,,
feather,UBERON_0000022,animal feed,,,,,,,,
meat and bone meal,FOODON_00002738,animal feed,,,,,,,,
pet food (raw),GENEPIO_0001057,animal feed,,,,,,,,
"seafood product 
",FOODON_00001046,aquatic animals,,,,,,,,
seafood salad (food product),FOODON_03308493,aquatic animals;multi-ingredient,,,,,,,,
bean food product,FOODON_00001635,beans,,,,,,,,
carob food product,FOODON_00002400 ,beans,,,,,,,,
beef food product,FOODON_00001041,beef,,,,,,,,
bovine meat food product,FOODON_00001134,beef,,,,,,,,
bovine,FOODON_03414374,beef,,,,,,,,
chicken,FOODON_03411457,chicken,,,,,,,,
chicken meat food product,FOODON_00001040,chicken,,,,,,,,
gallus gallus,NCBITaxon_9031,chicken,,,,,,,,
chicken vegetable soup,FOODON_03310946,chicken,,,,,,,,
chicken salad food product,FOODON_00001727,chicken;multi-ingredient,,,,,,,,
feces,UBERON_0001988,clinical/research,,,,,,,,
blood,UBERON_0000178,clinical/research,,,,,,,,
chemical entity,CHEBI_24431,clinical/research,,,,,,,,
fertilizer,CHEBI_33287,clinical/research,,,,,,,,
fecal material,ENVO_00002003,clinical/research,,,,,,,,
bodily fluid material,ENVO_02000019,clinical/research,,,,,,,,
blood material,ENVO_02000020,clinical/research,,,,,,,,
Swab,NCIT_C17627,clinical/research,,,,,,,,
organism substance,UBERON_0000463,clinical/research,,,,,,,,
anatomical structure,UBERON_0000061,clinical/research,,,,,,,,
anatomical system,UBERON_0000467,clinical/research,,,,,,,,
anatomical entity,UBERON_0001062,clinical/research,,,,,,,,
anatomical wall,UBERON_0000060,clinical/research,,,,,,,,
anatomical junction,UBERON_0007651,clinical/research,,,,,,,,
bodily fluid,UBERON_0006314,clinical/research,,,,,,,,
excreta,UBERON_0000174,clinical/research,,,,,,,,
necropsy,mmo_0000344,clinical/research,,,,,,,,
canis lupus familiaris,NCBITaxon_9615,companion animal,,,,,,,,
felis catus,NCBITaxon_9685,companion animal,,,,,,,,
dog,FOODON_03414847,companion animal,,,,,,,,
cat,NCIT_C14191,companion animal,,,,,,,,
canis,NCBITaxon_9611,companion animal,,,,,,,,
bos taurus,NCBITaxon_9913,cow,,,,,,,,
calf meat food product,FOODON_00001678,cow,,,,,,,,
bovine,FOODON_03414374,cow,,,,,,,,
crustacean food product,FOODON_00001792,crustaceans,,,,,,,,
crustacean,FOODON_03411374,crustaceans,,,,,,,,
dairy food product,FOODON_00001256,dairy,,,,,,,,
dairy dessert food product,FOODON_00001800,dairy,,,,,,,,
dairy,ENVO_00003862,dairy,,,,,,,,
milk,UBERON_0001913,dairy,,,,,,,,
cheese sandwich,FOODON_03312036,dairy;multi-ingredient,,,,,,,,
food supplement form,FOODON_03430154,dietary supplement,,,,,,,,
dietary supplement,FOODON_03401298,dietary supplement,,,,,,,,
food supplement food product,FOODON_00001874,dietary supplement,,,,,,,,
kratom,FOODON_00002895,dietary supplement,,,,,,,,
dietary or therapeutic formulation food product,FOODON_00001809,dietary supplement,,,,,,,,
infant formula,FOODON_03303130,dietary supplement,,,,,,,,
egg or egg component,FOODON_03420194,eggs,,,,,,,,
egg food product,FOODON_00001274,eggs,,,,,,,,
egg yolk,UBERON_0007378,eggs,,,,,,,,
egg salad sandwich,FOODON_03307770,eggs;multi-ingredient,,,,,,,,
hen egg salad,FOODON_03304628,eggs;multi-ingredient,,,,,,,,
seafood product analog,FOODON_00002229 ,engineered seafood,,,,,,,,
fish food product analog,FOODON_00001854 ,engineered seafood,,,,,,,,
environment sample,GENEPIO_0001246,environmental,,,,,,,,
environmental feature,ENVO_00002297,environmental,,,,,,,,
environmental material,ENVO_00010483,environmental,,,,,,,,
fertilizer,CHEBI_33287,environmental,,,,,,,,
environmental (swab or sampling),GENEPIO_0001732,environmental,,,,,,,,
animal manure,ENVO_00003031,environmental,,,,,,,,
carcass,ENVO_00002033,environmental,,,,,,,,
environmental system,ENVO_01000254,environmental,,,,,,,,
food container or wrapping,FOODON_03490100,environmental,,,,,,,,
geographic feature,ENVO_00000000,environmental,,,,,,,,
solid astronomical body part,ENVO_00000191,environmental,,,,,,,,
food contact surface,FOODON_03500010,environmental,,,,,,,,
abattoir,ENVO_01000925,environmental-abattoir,,,,,,,,
animal house,ENVO_00003040,environmental-animal housing,,,,,,,,
factory,ENVO_01000536,environmental-factory/production facility,,,,,,,,
construction,ENVO_00000070,environmental-factory/production facility,,,,,,,,
plumbing drain,ENVO_01000924,environmental-factory/production facility,,,,,,,,
building,ENVO_00000073 ,environmental-factory/production facility,,,,,,,,
farm,ENVO_00000078,environmental-farm,,,,,,,,
fish farm,ENVO_00000294,environmental-farm,,,,,,,,
pasture,ENVO_00000266,environmental-pasture,,,,,,,,
research facility,ENVO_00000469,environmental-research facility,,,,,,,,
restaurant,ENVO_01000934,environmental-restaurant,,,,,,,,
shop,ENVO_00002221,environmental-retail,,,,,,,,
vehicle,ENVO_01000604,environmental-vehicle,,,,,,,,
warehouse,ENVO_00003963,environmental-warehouse,,,,,,,,
water,CHEBI_15377,environmental-water,,,,,,,,
water mass,ENVO_01000685,environmental-water,,,,,,,,
sediment,ENVO_00002007,environmental-water,,,,,,,,
liquid water,ENVO_00002006,environmental-water,,,,,,,,
water body,ENVO_00000063 ,environmental-water,,,,,,,,
fish,FOODON_03411222,fish,,,,,,,,
fish oil,FOODON_03306123,fish,,,,,,,,
fish food product,FOODON_00001248,fish,,,,,,,,
actinopterygii,NCBITaxon_7898,fish,,,,,,,,
fish egg food product,FOODON_00001250,fish,fish;eggs,,,,,,,
caesio,NCBITaxon_119693,fish,,,,,,,,
tuna salad sandwich,FOODON_03307771,fish;multi-ingredient,,,,,,,,
tuna salad,FOODON_03308735,fish;multi-ingredient,,,,,,,,
fish salad (food product),FOODON_03316277,fish;multi-ingredient,,,,,,,,
food material,FOODON_00002403 ,food,,,,,,,,
food source,FOODON_03411564,food,,,,,,,,
food,CHEBI_33290,food,,,,,,,,
fruit,PO_0009001,fruits,,,,,,,,
plant fruit food product,FOODON_00001057,fruits,,,,,,,,
fruit juice food product,FOODON_00001140,fruits,,,,,,,,
fruit-producing plant,FOODON_03411140,fruits,,,,,,,,
fungal food product,FOODON_00001143,fungi,,,,,,,,
fungus,FOODON_03411261,fungi,,,,,,,,
fungi,NCBITaxon_4751,fungi,,,,,,,,
algae,FOODON_03411301,fungi,,,,,,,,
algal food product,FOODON_00001184,fungi,,,,,,,,
game animal food product,FOODON_00002477,game,,,,,,,,
duck meat food product,FOODON_00001284,game,,,,,,,,
venison,FOODON_00002935,game;multi-ingredient,,,,,,,,
cereal grain food product,FOODON_00001093,grains,,,,,,,,
grain plant,FOODON_03411324,grains,,,,,,,,
"flavoring, spice or herb, natural",FOODON_03460229,herbs,,,,,,,,
tea food product,FOODON_03315081,herbs,,,,,,,,
spice or herb,FOODON_00001242,herbs,,,,,,,,
spice or flavor-producing plant,FOODON_03411179,herbs,,,,,,,,
human milk based food product,FOODON_00001958,human,,,,,,,,pogona vitticeps:ncbitaxon_103695
homo sapiens,NCBITaxon_9606,human,,,,,,,,
meat food product,FOODON_00001006,meat,,,,,,,,
liver,UBERON_0002107,meat,,,,,,,,
jowl trimmed,FOODON_03530040,meat,,,,,,,,
breast,UBERON_0000310,meat,,,,,,,,
kielbasa,FOODON_00002728,meat;multi-ingredient,,,,,,,,
melon fruit food product,FOODON_00001152,melon fruit,,,,,,,,
clam food product,FOODON_00001291,mollusks (bi-valve),,,,,,,,
oyster food product,FOODON_00001292,mollusks (bi-valve),,,,,,,,
mussel food product,FOODON_00002051,mollusks (bi-valve),,,,,,,,
scallop food product,FOODON_00002227,mollusks (bi-valve),,,,,,,,
cockle food product,FOODON_00001746,mollusks (bi-valve),,,,,,,,
bivalve,FOODON_03412113,mollusks (bi-valve),,,,,,,,
gastropod,FOODON_03412111,mollusks (non-bi-valve),,,,,,,,
cephalopod,FOODON_03412116,mollusks (non-bi-valve),,,,,,,,
abalone food product,FOODON_00001575,mollusks (non-bi-valve),,,,,,,,
snail food product,FOODON_00002244,mollusks (non-bi-valve),,,,,,,,
cephalopod food product,FOODON_00001707,mollusks (non-bi-valve),,,,,,,,
octopus food product,FOODON_03316989,mollusks (non-bi-valve),,,,,,,,
salad,FOODON_03316042,multi-ingredient,,,,,,,,
pie food product,FOODON_00002114,multi-ingredient,,,,,,,,
prepared food product,FOODON_00001180,multi-ingredient,,,,,,,,
mixture,CHEBI_60004,multi-ingredient,,,,,,,,
multi-component food,FOODON_00002501,multi-ingredient,,,,,,,,
snack food,FOODON_03315013,multi-ingredient,,,,,,,,
curry (dish),FOODON_03306648,multi-ingredient,,,,,,,,
spice mixture,FOODON_03304292,multi-ingredient,,,,,,,,
gravy or sauce,FOODON_00001931,multi-ingredient,,,,,,,,
dessert food,FOODON_03303220,multi-ingredient,,,,,,,,
soup food product,FOODON_00002257,multi-ingredient,,,,,,,,
animal-derived food,FOODON_03302001,multi-ingredient,,,,,,,,
pizza food product,FOODON_03310775,multi-ingredient,,,,,,,,
food (salted),FOODON_03460173,multi-ingredient,,,,,,,,
food (filled),FOODON_00002644,multi-ingredient,,,,,,,,
food (seasoned),FOODON_00002733,multi-ingredient,,,,,,,,
food (breaded),FOODON_00002661,multi-ingredient,,,,,,,,
food component,FOODON_00001714,multi-ingredient,,,,,,,,
animal product sausage,FOODON_00001605,multi-ingredient,,,,,,,,
sausage food product,FOODON_00001007,multi-ingredient,,,,,,,,
fruit jelly food product,FOODON_00001888,multi-ingredient,,,,,,,,
fruit preserve or jam food product,FOODON_00001226,multi-ingredient,,,,,,,,
food (pickled),FOODON_00001079,multi-ingredient,,,,,,,,
food spread,FOODON_00001873,multi-ingredient,,,,,,,,
fruit butter food product,FOODON_00001885,multi-ingredient,,,,,,,,
food product by meal type,FOODON_00002373,multi-ingredient,,,,,,,,
tuna salad (food product),FOODON_03308735,multi-ingredient;fish,,,,,,,,
nut food product,FOODON_00001172,nuts,,,,,,,,
nut producing plant,FOODON_03411213,nuts,,,,,,,,
vegetable oil food product,FOODON_00001087,oils,,,,,,,,
oil,FOODON_03310387,oils,,,,,,,,
confectionery food product,FOODON_00001149,other (confectionery),,??,,,,,,
bakery food product,FOODON_00001626,other (confectionery),,??,,,,,,
grain based bakery food product,FOODON_00001917,other (confectionery);grains,,,,,,,,
sugar based cacao food product,FOODON_00002286,other (confectionery);multi-ingredient,,,,,,,,
food flavoring or seasoning product,FOODON_00001857,other (flavoring or seasoning),,,,,,,,
food additive,FOODON_03412972,other (food additive),,,,,,,,
sugar,FOODON_03420108,other (sweetener),,,,,,,,
sugars,UBERON_0036016,other (sweetener),,,,,,,,
honey food product,FOODON_00001178,other (sweetener),,,,,,,,
honey,UBERON_0036016,other (sweetener),,,,,,,,
sweetener food product,FOODON_00002300 ,other (sweetener),,,,,,,,
sugar cane sweetener food product,FOODON_00002291 ,other (sweetener),,,,,,,,
imitation honey,FOODON_03304509 ,other (sweetener),,,,,,,,
imitation maple sweetener,FOODON_03302676,other (sweetener),,,,,,,,
imitation maple syrup,FOODON_03304706,other (sweetener),,,,,,,,
imitation sugar,FOODON_03307555 ,other (sweetener),,,,,,,,
sugar substitute,FOODON_03315170,other (sweetener),,,,,,,,
artificial sweetener food product,FOODON_00001618 ,other (sweetener),,,,,,,,
deer family,FOODON_03411500,other animal,,,,,,,,
avian animal,FOODON_00002616,other animal,avian,??,,,,,,
avian food product,FOODON_00001251,other animal,avian,??,,,,,,
alpaca,FOODON_00002693,other animal,other animal (alpaca),,,,,,,
antelope,FOODON_03411481,other animal,other animal (antelope),game,,,,,,
bear,FOODON_03412406,other animal,other animal (bear),,,,,,,
beaver,FOODON_03411325,other animal,other animal (beaver),game,,,,,,
boar,FOODON_03412248,other animal,other animal (boar),game,,,,,,
buffalo,FOODON_03411476,other animal,other animal (buffalo),game,,,,,,
camel,FOODON_03412103,other animal,other animal (camel),game,,,,,,
capra,NCBITaxon_9922,other animal,other animal (capra),,,,,,,
crotalus,NCBITaxon_8728,other animal,other animal (crotalus),,,,,,,
deer,FOODON_03411583,other animal,other animal (deer),game,,,,,,
dolphin family,FOODON_03413363,other animal,other animal (dolphin family),,,,,,,
duck,FOODON_03411316,other animal,other animal (duck),game,,,,,,
eared seal family,FOODON_03414163,other animal,other animal (eared seal family),,,,,,,
elk,FOODON_03411292,other animal,other animal (elk),game,,,,,,
horse,FOODON_03411229,other animal,other animal (equine),,,,,,,
equus,NCBITaxon_9789,other animal,other animal (equine),,,,,,,
equine,FOODON_03414849,other animal,other animal (equine),,,,,,,
equus caballus,NCBITaxon_9796,other animal,other animal (equine),,,,,,,
fly,FOODON_00002717,other animal,other animal (fly),,,,,,,
goat,FOODON_03411328,other animal,other animal (goat),,,,,,,
grouse,FOODON_03411251,other animal,other animal (grouse),game,,,,,,
gull,FOODON_03413503,other animal,other animal (gull),game,,,,,,
hare,FOODON_03412695,other animal,other animal (hare),,,,,,,
kangaroo,FOODON_03412092,other animal,other animal (kangaroo),game,,,,,,
lamb,FOODON_03411669,other animal,other animal (lamb),,,,,,,
lemur,FOODON_00002955,other animal,other animal (lemur),,,,,,,
lepus,NCBITaxon_9980,other animal,other animal (lepus),,,,,,,
llama,FOODON_03412741,other animal,other animal (llama),,,,,,,
mink,FOODON_00002723,other animal,other animal (mink),,,,,,,
moose,FOODON_03411257,other animal,other animal (moose),game,,,,,,
mouse,NCIT_C14238,other animal,other animal (mouse),,,,,,,
musculus,NCBITaxon_112137,other animal,other animal (mouse),,,,,,,
mustelidae,NCBITaxon_9655,other animal,other animal (mustelidae),,,,,,,
neonate,bto_0001762,other animal,other animal (neonate),,,,,,,
okapi,FOODON_00002997,wild animal,other animal (okapi),,,,,,,
opossum,FOODON_03411450,other animal,other animal (opossum),,,,,,,
sheep,FOODON_03411183,other animal,other animal (ovis aries),,,,,,,
ovis aries,NCBITaxon_9940,other animal,other animal (ovis aries),,,,,,,
pheasant,FOODON_03411460,other animal,other animal (pheasant),game,,,,,,
primates,NCBITaxon_9443,other animal,other animal (primates),,,,,,,
quail,FOODON_03411346,other animal,other animal (quail),game,,,,,,
rabbit,FOODON_03411323,other animal,other animal (rabbit),game,,,,,,
raccoon,FOODON_03411461,other animal,other animal (raccoon),,,,,,,
reindeer,FOODON_03411509,other animal,other animal (reindeer),game,,,,,,
serpentes,NCBITaxon_8570,other animal,other animal (snake),,,,,,,
snake,FOODON_03411295,other animal,other animal (snake),game,,,,,,
squirrel,FOODON_03411389,other animal,other animal (squirrel),game,,,,,,
wild turkey,FOODON_00002979,other animal,other animal (wild turkey),game,,,,,,
zebra,FOODON_03412097,other animal,other animal (zebra),,,,,,,
alligator mississippiensis,NCBITaxon_8496,other animal,,,,,,,,
ammotragus lervia,NCBITaxon_9899,other animal,,,,,,,,
atelerix,NCBITaxon_9367,other animal,,,,,,,,
aves,NCBITaxon_8782,other animal,,,,,,,,
azadirachta indica,NCBITaxon_124943,other animal,,,,,,,,
bos gaurus,NCBITaxon_9904,other animal,,,,,,,,
bos javanicus,NCBITaxon_9906,other animal,,,,,,,,
bos primigenius,NCBITaxon_9909,other animal,,,,,,,,
branta,NCBITaxon_8852,other animal,,,,,,,,
branta canadensis,NCBITaxon_8853,other animal,,,,,,,,
camelidae,NCBITaxon_9835,other animal,,,,,,,,
camelus,NCBITaxon_9836,other animal,,,,,,,,
capra,NCBITaxon_9922,other animal,,,,,,,,
capra aegagrus,NCBITaxon_9923,other animal,,,,,,,,
capra hircus,NCBITaxon_9925,other animal,,,,,,,,
caprinae,NCBITaxon_9963,other animal,,,,,,,,
castor,NCBITaxon_10184,other animal,,,,,,,,
cavia porcellus,NCBITaxon_10141,other animal,,,,,,,,
cervidae,NCBITaxon_9850,other animal,,,,,,,,
cervus canadensis,NCBITaxon_1574408,other animal,,,,,,,,
cervus nippon,NCBITaxon_9863,other animal,,,,,,,,
chelydra serpentina,NCBITaxon_8475,other animal,,,,,,,,
chloephaga,NCBITaxon_8859,other animal,,,,,,,,
chlorocebus sabaeus,NCBITaxon_60711,other animal,,,,,,,,
cicada,NCBITaxon_134415,other animal,,,,,,,,
colinus virginianus,NCBITaxon_9014,other animal,,,,,,,,
columbidae,NCBITaxon_8930,other animal,,,,,,,,
coryphaena hippurus,NCBITaxon_34814,other animal,,,,,,,,
coturnix,NCBITaxon_9090,other animal,,,,,,,,
crotalus,NCBITaxon_8728,other animal,,,,,,,,
damaliscus lunatus jimela,NCBITaxon_59546,other animal,,,,,,,,
damaliscus pygargus phillipsi,NCBITaxon_37172,other animal,,,,,,,,
delphinidae,NCBITaxon_9726,other animal,,,,,,,,
dromaius novaehollandiae,NCBITaxon_8790,other animal,,,,,,,,
eclectus roratus,NCBITaxon_176024,other animal,,,,,,,,
epinephelus,NCBITaxon_94231,fish,,,,,,,,
equus,NCBITaxon_9789,other animal,,,,,,,,
