Term,Expansion
,
added,[ADDING PROCESS]
adding,[ADDING PROCESS]
applied,[APPLYING PROCESS]
applying,[APPLYING PROCESS]
aspirate,[ASPIRATION PROCESS]
aspirating,[ASPIRATION PROCESS]
assorted,[ASSORTING PROCESS]
assorting,[ASSORTING PROCESS]
bagged,[BAGGING PROCESS]
bagging,[BAGGING PROCESS]
baked,[BAKING PROCESS]
baking,[BAKING PROCESS]
basted,[BASTING PROCESS]
basting,[BASTING PROCESS]
blend,[BLENDING PROCESS]
blending,[BLENDING PROCESS]
brewed,[BREWING PROCESS]
brewing,[BREWING PROCESS]
canned,[CANNING PROCESS]
canning,[CANNING PROCESS]
cheeked,[CHEEKING PROCESS]
cheeking,[CHEEKING PROCESS]
chopped,[CHOPPING PROCESS]
chopping,[CHOPPING PROCESS]
clawed,[CLAWING PROCESS]
clawing,[CLAWING PROCESS]
clean,[CLEANING PROCESS]
cleaned,[CLEANING PROCESS]
cleaning,[CLEANING PROCESS]
coated,[COATING PROCESS]
coating,[COATING PROCESS]
comminuted,[COMMINUTING PROCESS]
comminuting,[COMMINUTING PROCESS]
condensed,[CONDENSING PROCESS]
condensing,[CONDENSING PROCESS]
cracked,[CRACKING PROCESS]
cracking,[CRACKING PROCESS]
creamed,[CREAMING PROCESS]
creaming,[CREAMING PROCESS]
crumbled,[CRUMBLING PROCESS]
crumbling,[CRUMBLING PROCESS]
crushed,[CRUSHING PROCESS]
crushing,[CRUSHING PROCESS]
crystallized,[CRYSTALLIZING PROCESS]
crystallizing,[CRYSTALLIZING PROCESS]
cultured,[CULTURING PROCESS]
culturing,[CULTURING PROCESS]
curried,[CURRYING PROCESS]
currying,[CURRYING PROCESS]
deboned,[DEBONING PROCESS]
deboning,[DEBONING PROCESS]
deprived,[DEPRIVING PROCESS]
depriving,[DEPRIVING PROCESS]
desiccated,[DESICATING PROCESS]
desiccating,[DESICATING PROCESS]
deveined,[DEVEINING PROCESS]
deveining,[DEVEINING PROCESS]
diced,[DICING PROCESS]
dicing,[DICING PROCESS]
diluted,[DILUTING PROCESS]
diluting,[DILUTING PROCESS]
dressing,[DRESSING PROCESS]
extruded,[EXTRUDING PROCESS]
extruding,[EXTRUDING PROCESS]
flagellated,[FLAGELLATING PROCESS]
flagellating,[FLAGELLATING PROCESS]
flatwhiskered,[FLATWHISKERING PROCESS]
flatwhiskering,[FLATWHISKERING PROCESS]
foodtoasted,[FOODTOASTING PROCESS]
foodtoasting,[FOODTOASTING PROCESS]
forming,[FORMING PROCESS]
four-fingered,[FOUR-FINGERING PROCESS]
four-fingering,[FOUR-FINGERING PROCESS]
fried,[FRYING PROCESS]
frilled,[FRILLING PROCESS]
frilling,[FRILLING PROCESS]
fry,[FRYING PROCESS]
frying,[FRYING PROCESS]
generated,[GENERATING PROCESS]
generating,[GENERATING PROCESS]
granulated,[GRANULATING PROCESS]
granulating,[GRANULATING PROCESS]
grated,[GRATING PROCESS]
grating,[GRATING PROCESS]
ground,[GROUNDING PROCESS]
grounding,[GROUNDING PROCESS]
gutted,[GUTTING PROCESS]
gutting,[GUTTING PROCESS]
heated,[HEATING PROCESS]
heating,[HEATING PROCESS]
huiled,[HUILING PROCESS]
huiling,[HUILING PROCESS]
hulled,[HULLING PROCESS]
hulling,[HULLING PROCESS]
isolated,[ISOLATING PROCESS]
isolating,[ISOLATING PROCESS]
laid,[LAYING PROCESS]
laying,[LAYING PROCESS]
leaned,[LEANING PROCESS]
leaning,[LEANING PROCESS]
marinated,[MARINATING PROCESS]
marinating,[MARINATING PROCESS]
mashed,[MASHING PROCESS]
mashing,[MASHING PROCESS]
minced,[MINCING PROCESS]
mincing,[MINCING PROCESS]
mixed,[MIXING PROCESS]
mixing,[MIXING PROCESS]
packaged,[PACKAGING PROCESS]
packaging,[PACKAGING PROCESS]
packed,[PACKING PROCESS]
packing,[PACKING PROCESS]
pooled,[POOLING PROCESS]
pooling,[POOLING PROCESS]
powdered,[POWDERING PROCESS]
powdering,[POWDERING PROCESS]
pre-cooked,[PRE-COOKING PROCESS]
pre-cooking,[PRE-COOKING PROCESS]
prepared,[PREPARING PROCESS]
preparing,[PREPARING PROCESS]
processed,[PROCESSING]
processing,[PROCESSING]
producing,[PRODUCTION PROCESS]
production,[PRODUCTION PROCESS]
reduced,[REDUCING PROCESS]
reducing,[REDUCING PROCESS]
reisolated,[REISOLATING PROCESS]
reisolating,[ISOLATING PROCESS]
rinsed,[RINSING PROCESS]
rinsing,[RINSING PROCESS]
roast,[ROASTING PROCESS]
roasted,[ROASTING PROCESS]
roasting,[ROASTING PROCESS]
rubbed,[RUBBING PROCESS]
rubbing,[RUBBING PROCESS]
salted,[SALTING PROCESS]
salting,[SALTING PROCESS]
scaled,[SCALING PROCESS]
scaling,[SCALING PROCESS]
seasoned,[SEASONING PROCESS]
seasoning,[SEASONING PROCESS]
shake,[SHAKING PROCESS]
shaking,[SHAKING PROCESS]
shelled,[SHELLING PROCESS]
shelling,[SHELLING PROCESS]
shoildried,[SHOILDRYING PROCESS]
shoildrying,[SHOILDRYING PROCESS]
shredded,[SHREDDING PROCESS]
shredding,[SHREDDING PROCESS]
sliced,[SLICING PROCESS]
slicing,[SLICING PROCESS]
specified,[SPECIFYING PROCESS]
specifying,[SPECIFYING PROCESS]
speckled,[SPECKLING PROCESS]
speckling,[SPECKLING PROCESS]
sprouted,[SPROUTING PROCESS]
sprouting,[SPROUTING PROCESS]
squeezed,[SQUEEZING PROCESS]
squeezing,[SQUEEZING PROCESS]
stewed,[STEWING PROCESS]
stewing,[STEWING PROCESS]
striped,[STRIPING PROCESS]
striping,[STRIPING PROCESS]
swabbing,[SWABBING PROCESS]
textered,[TEXTERING PROCESS]
textering,[TEXTERING PROCESS]
undiluted,[UNDILUTING PROCESS]
undiluting,[UNDILUTING PROCESS]
vacuum packed,[VACUUM PACKING PROCESS]
vacuum-packed,[VACUUM PACKING PROCESS]
whipped,[WHIPPING PROCESS]
whipping,[WHIPPING PROCESS]
wrapped,[WRAPPING PROCESS]
wrapping,[WRAPPING PROCESS]
soaked,[SOAKING PROCESS]
soaking,[SOAKING PROCESS]
deep fried,[DEEP FRYING PROCESS]
cold brewed,[COLD BREWING PROCESS]
