Ontology ID,IFSAC class,Bucket,,
NCBITaxon_9789,other animal,equus,,
NCBITaxon_9793,other animal,equus asinus,,
NCBITaxon_9796,other animal,equus caballus,,
NCBITaxon_9791,other animal,equus zebra,,
NCBITaxon_30577,other animal,erinaceinae,,
NCBITaxon_forma,other animal,forma,,
NCBITaxon_9933,other animal,gazella,,
NCBITaxon_36310,other animal,gekko gecko,,
NCBITaxon_3311,plant,ginkgo biloba,,
NCBITaxon_4231,plant,helianthus,,
NCBITaxon_37184,other animal,hippotragus,,
NCBITaxon_37965,other animal,hybrid,,
NCBITaxon_7997,other animal,ictalurus,,
NCBITaxon_8515,mollusks (non-bi-valve),iguanidae,,
NCBITaxon_6627,mollusks (non-bi-valve),illex,,
NCBITaxon_84645,fish,labeo rohita,,
NCBITaxon_9844,other animal,lama glama,,
NCBITaxon_8910,other animal,laridae,,
NCBITaxon_9980,other animal,lepus,,
NCBITaxon_690715,other animal,leucophaeus pipixcan,,
NCBITaxon_1637,other animal,listeria,,
NCBITaxon_54600,other animal,macaca nigra,,
NCBITaxon_4329,plant,macadamia,,
NCBITaxon_9312,other animal,macropus,,
NCBITaxon_3750,pome fruit,malus domestica,,
NCBITaxon_6595,mollusks (bi-valve),mercenaria,,
NCBITaxon_8062,fish,merluccius,,
NCBITaxon_8190,fish,mugil,,
NCBITaxon_10090,other animal,mus musculus,,
NCBITaxon_7370,other animal,musca domestica,,
NCBITaxon_9668,other animal,mustela putorius,,
NCBITaxon_9655,other animal,mustelidae,,
NCBITaxon_51088,herb,myristica,,
NCBITaxon_75027,other animal,naso,,
NCBITaxon_452646,other animal,neovison vison,,American mink
NCBITaxon_9872,other animal,odocoileus hemionus,,Mule deer
NCBITaxon_9874,other animal,odocoileus virginianus,,white tailed deer
NCBITaxon_8019,fish,oncorhynchus kisutch,,
NCBITaxon_8022,fish,oncorhynchus mykiss,,
NCBITaxon_39174,herb,origanum,,
NCBITaxon_9986,other animal,oryctolagus cuniculus,,European rabbit
NCBITaxon_9957,other animal,oryx,,
NCBITaxon_9935,other animal,ovis,,
NCBITaxon_9940,other animal,ovis aries,,
NCBITaxon_1227137,fish,pachypterus atherinoides,,
NCBITaxon_8000,fish,pangasius,,
NCBITaxon_29064,other animal,panthera uncia,,snow leapard
NCBITaxon_35609,pig,pecari,,pig
NCBITaxon_9054,other animal,phasianus colchicus,,ring-necked pheasant
NCBITaxon_511552,herb,piper sanctum,,mexican pepperleaf
NCBITaxon_103695,wild animal,pogona vitticeps,,central bearded dragon
NCBITaxon_9443,other animal,primates,,primate
NCBITaxon_57247,other animal,psittacus erithacus,,grey parrot
NCBITaxon_9696,other animal,puma concolor,,cougar
NCBITaxon_27707,fish,puntius,,fish
NCBITaxon_37579,other animal,python,,python
NCBITaxon_34984,other animal,pythonidae,,python family
NCBITaxon_10114,other animal,rattus,,rat
NCBITaxon_8797,other animal,rhea americana,,greater rhea
NCBITaxon_3620,clinical/research,rheum,,nose fluid
NCBITaxon_9989,other animal,rodentia,,rodent
NCBITaxon_3764,vegetable row crops (flower),rosa,,rose
NCBITaxon_24966,vegetable row crops (flower),rubiaceae,,maddar
NCBITaxon_43328,other animal,rucervus duvaucelii,,barasingha
NCBITaxon_34874,other animal,saiga,,saiga antelope
NCBITaxon_590,other animal,salmonella,,rod-shaped Gram-negative bacteria
NCBITaxon_52904,fish,scophthalmus maximus,,
NCBITaxon_53922,vegetable row crops (flower),senna,,flowering plant
NCBITaxon_8570,other animal,serpentes,,snake
NCBITaxon_9774,other aquatic animals,sirenia,,sea cow
NCBITaxon_9240,other animal,spheniscus humboldti,,humboldt penguin
NCBITaxon_142480,other animal,sternotherus odoratus,,common musk turtle
NCBITaxon_30458,other animal,strigiformes,,owl
NCBITaxon_8801,other animal,struthio camelus,,common ostrich
NCBITaxon_9970,cow,syncerus caffer,,African buffalo
NCBITaxon_9351,other animal,tamandua mexicana,,Northern tamandua
NCBITaxon_373995,fish,tenualosa ilisha,,
NCBITaxon_8234,fish,thunnus,,
NCBITaxon_8235,fish,thunnus alalunga,,
NCBITaxon_365651,other animal,trachemys callirostris,,turtle
NCBITaxon_69298,other animal,tragelaphus spekii,,sitatunga (swamp-dwelling antelope)
NCBITaxon_9643,other animal,ursus americanus,,American black bear
NCBITaxon_51238,plant,vanilla,,
NCBITaxon_8556,other animal,varanus,,monitor lizard
NCBITaxon_30539,other animal,vicugna,,vicuna camelid
FOODON_03411343,other aquatic animals,whale,,
FOODON_03306461,other aquatic animals,seal meat (raw),,
FOODON_03411252,other aquatic animals,frog,,
FOODON_00002236,other meat,sheep meat food product,,
FOODON_00001952,other meat,horse meat food product,,
FOODON_03411253,other poultry,goose,other animal (goose),
FOODON_03411304,other poultry,pigeon,other animal (pigeon),
FOODON_03414362,other poultry,ratite,other animal (ratite),
FOODON_00001285,other poultry,goose meat food product,,
FOODON_03411136,pig,swine,,
NCBITaxon_9825,pig,sus scrofa domesticus,,
NCBITaxon_9823,pig,sus scrofa,,
NCBITaxon_9822,pig,sus,,
NCBITaxon_33090,plant,viridiplantae,,
FOODON_03411347,plant,plant,,
NCBITaxon_9903,plant,bos,,
FOODON_00001015,plant,plant food product,,
FOODON_00001253,plant,plant derived beverage,,
FOODON_00001158,pome fruit,pomaceous fruit food product,,
FOODON_00001038,pork,pork meat food product,,
FOODON_00001132,pork,swine food product,,
FOODON_03306503,pork;beef;multi-ingredient,bologna,,
FOODON_03317269,pork;beef;multi-ingredient,knockwurst,,
FOODON_03302012,pork;beef;multi-ingredient,frankfurter,,
FOODON_03307824,pork;dairy;multi-ingredient,ham and cheese sandwich,,
FOODON_03312067,pork;multi-ingredient,salami,,
FOODON_00002306,pork;multi-ingredient,swine sausage,,
FOODON_03311682,pork;multi-ingredient,mortadella,,
FOODON_03311003,pork;multi-ingredient,pepperoni,,
FOODON_00002911,pork;multi-ingredient,bratwurst,,
FOODON_03316070,pork;multi-ingredient,chorizo,,
FOODON_00002305,pork;multi-ingredient,swine sandwich,,
FOODON_00001131,poultry,poultry meat food product,,
FOODON_00001251,poultry,avian food product,,
FOODON_00001147,root/underground,plant root food product,,
FOODON_00002150,root/underground,plant root vegetable food product,,
FOODON_00002069,root/underground (bulbs),onion food product,,
FOODON_00001895,root/underground (bulbs),garlic food product,,
FOODON_00002310,root/underground (other),taro food product,,
FOODON_00001901,root/underground (other),ginger food product,,
PO_0025522,root/underground (roots),tuber,,
FOODON_00001687,root/underground (roots),carrot food product,,
FOODON_00001638,root/underground (roots),beet food product,,
FOODON_03317076,root/underground (roots),root vegetable product,,
PO_0025356,root/underground (tubers),bulb,,
FOODON_00001148,root/underground (tubers),potato food product,,
FOODON_00002368,root/underground (tubers),yam food product,,
FOODON_03411338,seeded vegetables (legumes),pea plant,,
FOODON_00001264,seeded vegetables (legumes),legume food product,,
FOODON_03411232,seeded vegetables (other),corn plant (maize plant),,
FOODON_00002064,seeded vegetables (other),okra vegetable food product,,
FOODON_00001765,seeded vegetables (other),corn (vegetable) food product,,
FOODON_00001164,seeded vegetables (solanaceous),tomato vegetable food product,,
FOODON_00002111,seeded vegetables (solanaceous),pepper vegetable food product,,
NCBITaxon_4071,seeded vegetables (solanaceous),capsicum,,
FOODON_00002271,seeded vegetables (vine-grown),squash vegetable food product,,
FOODON_03411208,seeded vegetables (vine-grown),squash plant,,
FOODON_00002448,seeded vegetables (vine-grown),zucchini food product,,
FOODON_00001795,seeded vegetables (vine-grown),cucumber vegetable food product,,
PO_0009010,seeds,seed,,
FOODON_03420155,seeds,seed (anatomical part),,
FOODON_00001173,seeds,plant seed food product,,
FOODON_00002264,seeds,soybean refined food product,,
FOODON_03411433,shellfish,shellfish,,
FOODON_00001640,small fruit,berry food product,,
FOODON_03303398,small fruit,"kiwifruit (whole, raw)",,
FOODON_00001584,sprouts,alfalfa vegetable food product,,
FOODON_00001670,sprouts,brussels sprout vegetable food product,,
FOODON_03420183,sprouts,sprout,,
FOODON_00002277,stone fruit,stone fruit food product,,
FOODON_03411539,stone fruit,stone fruit,,
FOODON_00001625,sub-tropical fruit,avocado vegetable food product,,
FOODON_00002071,sub-tropical fruit,orange food product,,
FOODON_00001929,sub-tropical fruit,grapefruit food product,,
FOODON_00001995,sub-tropical fruit,lemon food product,,
FOODON_03315108,sub-tropical fruit,tangerine,,
FOODON_00001990,sub-tropical fruit,kumquat food product,,
FOODON_00001803,sub-tropical fruit,date food product,,
FOODON_00001851,sub-tropical fruit,fig food product,,
FOODON_00002006,sub-tropical fruit,lychee food product,,
FOODON_03411447,sub-tropical fruit,persimmon plant,,
FOODON_03411162,sub-tropical fruit,pomegranate plant,,
FOODON_00001156,sub-tropical fruit,citrus fruit juice,,
FOODON_00002689,tropical fruit,tropical fruit food product,,
NCBITaxon_3649,tropical fruit,carica papaya,,
FOODON_03411236,turkey,turkey (bird),,
FOODON_00001286,turkey,turkey meat food product,,
NCBITaxon_9102,turkey,meleagris,,
NCBITaxon_9103,turkey,meleagris gallopavo,,
FOODON_03310573,turkey;multi-ingredient,turkey sandwich,,
FOODON_00002142,vegetable row crops,plant head vegetable food product,,
FOODON_00001666,vegetable row crops (flower),broccoli vegetable food product,,
FOODON_00002140,vegetable row crops (flower),plant floret vegetable food product,,
NCBITaxon_25641,vegetable row crops (flower),aloe,,
NCBITaxon_34199,vegetable row crops (flower),aloe vera,,
FOODON_00001998,vegetable row crops (leafy),lettuce vegetable food product,,
FOODON_03411566,vegetable row crops (leafy),leafy vegetable,,
FOODON_00002143,vegetable row crops (leafy),plant leaf vegetable food product,,
FOODON_00001175,vegetable row crops (stem),plant stem food product,,
FOODON_00001261,vegetables,vegetable food product,,
FOODON_03411579,vegetables,vegetable-producing plant,,
FOODON_03301444,vegetables,vegetable juice food product,,
FOODON_03411625,wild animal,reptile,,
FOODON_00002200,wild animal,amphibian or reptile food product,,
FOODON_03411624,wild animal,amphibian,,
NCBITaxon_9893,wild animal,girrafa,,
FOODON_00003316,wild animal,giraffe,,
FOODON_03309387,environmental,poultry carcass,,
ncit_c53471,clinical/research,isolate,,
UBERON_0000062 ,clinical/research,organ,,
bto_0001481,plant,plant,,
genepio_0002016,plant,plant product,,
genepio_0001727,meat;environmental,swab - meat (deprecated),,
foodon_03310971,pork;turkey,turkey ham,,
sep_00042,clinical/research,sample,,
ncit_c16960,human,patient,,
po_0025034,plant,leaf,,
obi_0600044,clinical/research,lavage,,
envo_02000043,clinical/research,biological product,,
foodon_00003260,chicken,chicken curry,,
FOODON_00002221,other (food additive),salt product,,
chebi_24866,other (food additive),salt,,
ifsac_0000002,animal,animal (IFSAC),,
ifsac_0000003,animal feed,animal feed (IFSAC),,
ifsac_0000004,aquatic animals,aquatic animals (IFSAC),,
ifsac_0000005,beans,beans (IFSAC),,
ifsac_0000006,beef,beef (IFSAC),,
ifsac_0000007,chicken,chicken (IFSAC),,
ifsac_0000008,clinical/research,clinical/research (IFSAC),,
ifsac_0000009,companion animal,companion animal (IFSAC),,
ifsac_0000010,confectionery,other (confectionery) (IFSAC),,
ifsac_0000011,cow,cow (IFSAC),,
ifsac_0000012,crustaceans,crustaceans (IFSAC),,
ifsac_0000013,dairy,dairy (IFSAC),,
ifsac_0000014,dietary supplement,dietary supplement (IFSAC),,
ifsac_0000015,eggs,eggs (IFSAC),,
ifsac_0000016,engineered seafood,engineered seafood (IFSAC),,
ifsac_0000017,environmental,environmental (IFSAC),,
ifsac_0000018,environmental-abattoir,environmental-abattoir (IFSAC),,
ifsac_0000019,environmental-animal housing,environmental-animal housing (IFSAC),,
ifsac_0000020,environmental-factory/production facility,environmental-factory/production facility (IFSAC),,
ifsac_0000021,environmental-farm,environmental-farm (IFSAC),,
ifsac_0000022,environmental-pasture,environmental-pasture (IFSAC),,
ifsac_0000023,environmental-research facility,environmental-research facility (IFSAC),,
ifsac_0000024,environmental-restaurant,environmental-restaurant (IFSAC),,
ifsac_0000025,environmental-retail,environmental-retail (IFSAC),,
ifsac_0000026,environmental-vehicle,environmental-vehicle (IFSAC),,
ifsac_0000027,environmental-warehouse,environmental-warehouse (IFSAC),,
ifsac_0000028,environmental-water,environmental-water (IFSAC),,
ifsac_0000029,fish,fish (IFSAC),,
ifsac_0000030,other (flavoring or seasoning),other (flavoring or seasoning) (IFSAC),,
ifsac_0000031,food,food (IFSAC),,
ifsac_0000032,fruits,fruits (IFSAC),,
ifsac_0000033,fungi,fungi (IFSAC),,
ifsac_0000034,game,game (IFSAC),,
ifsac_0000035,grains,grains (IFSAC),,
ifsac_0000036,herbs,herbs (IFSAC),,
ifsac_0000037,human,human (IFSAC),,
ifsac_0000038,meat,meat (IFSAC),,
ifsac_0000039,melon fruit,melon fruit (IFSAC),,
ifsac_0000040,mollusks (bi-valve),mollusks (bi-valve) (IFSAC),,
ifsac_0000041,mollusks (non-bi-valve),mollusks (non-bi-valve) (IFSAC),,
ifsac_0000042,multi-ingredient,multi-ingredient (IFSAC),,
ifsac_0000043,nuts,nuts (IFSAC),,
ifsac_0000044,oils,oils (IFSAC),,
ifsac_0000045,other (food additive),other (food additive) (IFSAC),,
ifsac_0000046,other (sweetener),other (sweetener) (IFSAC),,
ifsac_0000047,other animal,other animal (IFSAC),,
ifsac_0000048,other aquatic animals,other aquatic animals (IFSAC),,
ifsac_0000049,other meat,other meat (IFSAC),,
ifsac_0000050,other poultry,other poultry (IFSAC),,
ifsac_0000051,pig,pig (IFSAC),,
ifsac_0000052,plant,plant (IFSAC),,
ifsac_0000053,pome fruit,pome fruit (IFSAC),,
ifsac_0000054,pork,pork (IFSAC),,
ifsac_0000055,poultry,poultry (IFSAC),,
ifsac_0000056,root/underground,root/underground (IFSAC),,
ifsac_0000057,root/underground (bulbs),root/underground (bulbs) (IFSAC),,
ifsac_0000058,root/underground (other),root/underground (other) (IFSAC),,
ifsac_0000059,root/underground (roots),root/underground (roots) (IFSAC),,
ifsac_0000060,root/underground (tubers),root/underground (tubers) (IFSAC),,
ifsac_0000061,seeded vegetables (legumes),seeded vegetables (legumes) (IFSAC),,
ifsac_0000062,seeded vegetables (other),seeded vegetables (other) (IFSAC),,
ifsac_0000063,seeded vegetables (solanaceous),seeded vegetables (solanaceous) (IFSAC),,
ifsac_0000064,seeded vegetables (vine-grown),seeded vegetables (vine-grown) (IFSAC),,
ifsac_0000065,seeds,seeds (IFSAC),,
ifsac_0000066,shellfish,shellfish (IFSAC),,
ifsac_0000067,small fruit,small fruit (IFSAC),,
ifsac_0000068,sprouts,sprouts (IFSAC),,
ifsac_0000069,stone fruit,stone fruit (IFSAC),,
ifsac_0000070,sub-tropical fruit,sub-tropical fruit (IFSAC),,
ifsac_0000071,tropical fruit,tropical fruit (IFSAC),,
ifsac_0000072,turkey,turkey (IFSAC),,
ifsac_0000073,vegetable row crops,vegetable row crops (IFSAC),,
ifsac_0000074,vegetable row crops (flower),vegetable row crops (flower) (IFSAC),,
ifsac_0000075,vegetable row crops (leafy),vegetable row crops (leafy) (IFSAC),,
ifsac_0000076,vegetable row crops (stem),vegetable row crops (stem) (IFSAC),,
ifsac_0000077,vegetables,vegetables (IFSAC),,
ifsac_0000078,wild animal,wild animal (IFSAC),,
