Token,Tag,Note,Should always be ordered by Tag in ascending order(or any order) and then by Token in descending order
teri anchovy,aquatic animals,,
tank goby,aquatic animals,,
tadpole mora,aquatic animals,,
syr darya sturgeon,aquatic animals,,
sydney rock oyster,aquatic animals,,
swordspine rockfish,aquatic animals,,
suwannee bass,aquatic animals,,
surf smelt,aquatic animals,,
sunshine bass,aquatic animals,,
striped triggerfish,aquatic animals,,
striped marlin,aquatic animals,,
striped killifish,aquatic animals,,
striped jack,aquatic animals,,
striped grunt,aquatic animals,,
striped grouper,aquatic animals,,
striped croaker,aquatic animals,,
striped corvina,aquatic animals,,
strawberry hind,aquatic animals,,
stout tagelus,aquatic animals,,
stout moray,aquatic animals,,
stout bobtail squid,aquatic animals,,
stellate sturgeon,aquatic animals,,
star-studded grouper,aquatic animals,,
starspotted grouper,aquatic animals,,
starry triggerfish,aquatic animals,,
starry rockfish,aquatic animals,,
star drum,aquatic animals,,
st. paul spiny lobster,aquatic animals,,
squarespot rockfish,aquatic animals,,
spreadfin skate,aquatic animals,,
spotted wing flyingfish,aquatic animals,,
spotted turbot,aquatic animals,,
spotted sunfish,aquatic animals,,
spotted snakehead,aquatic animals,,
spotted seerfish,aquatic animals,,
spotted sand bass,aquatic animals,,
spotted jack,aquatic animals,,
spotted hake,aquatic animals,,
spotted goatfish,aquatic animals,,
spotted eagle ray,aquatic animals,,
spotted cardinalfish,aquatic animals,,
spottail spiny turbot,aquatic animals,,
spottail porgies,aquatic animals,,
spot-tail mantis shrimp,aquatic animals,,
spotfin hogfish,aquatic animals,,
spotfin flyingfish,aquatic animals,,
spotfin croaker,aquatic animals,,
spot shrimp,aquatic animals,,
splittail bass,aquatic animals,,
spinytail skate,aquatic animals,,
spinycheek grouper,aquatic animals,,
spiny scallop,aquatic animals,,
spinner shark,aquatic animals,,
spinetail mobula,aquatic animals,,
speckled squirrelfish,aquatic animals,,
speckled shrimp,aquatic animals,,
speckled dwarf grouper,aquatic animals,,
speckled blue grouper,aquatic animals,,
spanner crab,aquatic animals,,
spanish slipper lobster,aquatic animals,,
spanish hogfish,aquatic animals,,
spanish grunt,aquatic animals,,
spangled emperor,aquatic animals,,
southwest atlantic butterfish,aquatic animals,,
southern white shrimp,aquatic animals,,
southern scallop,aquatic animals,,
southern rock sole,aquatic animals,,
southern reef squid,aquatic animals,,
southern rays bream,aquatic animals,,
southern puffer,aquatic animals,,
southern pigfish,aquatic animals,,
southern eagle ray,aquatic animals,,
southern brown shrimp,aquatic animals,,
southern anchovy,aquatic animals,,
south african kingklip,aquatic animals,,
solid sanguin clam,aquatic animals,,
sohachi flounder,aquatic animals,,
softshell turtles,aquatic animals,,
snubnose pompano,aquatic animals,,
snubnose grouper,aquatic animals,,
snowy grouper,aquatic animals,,
snake-skinned gourami,aquatic animals,,
smoothtail spiny lobster,aquatic animals,,
smoothtail mobula,aquatic animals,,
smooth trunkfish,aquatic animals,,
smooth skate,aquatic animals,,
smooth puffer,aquatic animals,,
smooth nylon shrimp,aquatic animals,,
smallwing flyingfish,aquatic animals,,
smalltoothed flounder,aquatic animals,,
smallmouth grunt,aquatic animals,,
smallmouth buffalo,aquatic animals,,
smallhead hairtail,aquatic animals,,
smalleye croaker,aquatic animals,,
small scaled mud carp,aquatic animals,,
slough anchovy,aquatic animals,,
slider turtles,aquatic animals,,
slender lizardfish,aquatic animals,,
slender grouper,aquatic animals,,
slender emperor,aquatic animals,,
sky emperor,aquatic animals,,
skipjack herring,aquatic animals,,
sixgill shark,aquatic animals,,
sixbar grouper,aquatic animals,,
silvertip shark,aquatic animals,,
silvergray rockfish,aquatic animals,,
silver sillago,aquatic animals,,
silver seatrout,aquatic animals,,
silver roughy,aquatic animals,,
silver porgy,aquatic animals,,
silver pomfret,aquatic animals,,
silver croaker,aquatic animals,,
silver anchovy,aquatic animals,,
silky shark,aquatic animals,,
siberian sturgeon,aquatic animals,,
shovelnose sturgeon,aquatic animals,,
shovelnose guitarfish,aquatic animals,,
shortraker rockfish,aquatic animals,,
shortnosed flyingfish,aquatic animals,,
shortneck clam,aquatic animals,,
shortjaw cisco,aquatic animals,,
shorthead redhorse sucker,aquatic animals,,
shortfin weakfish,aquatic animals,,
shortbelly rockfish,aquatic animals,,
short bigeye,aquatic animals,,
shiner surfperch,aquatic animals,,
sheep crab,aquatic animals,,
sharptooth swimming crab,aquatic animals,,
sharpnosed puffers,aquatic animals,,
sharpnose mullet,aquatic animals,,
sharpchin rockfish,aquatic animals,,
sharpchin flyingfish,aquatic animals,,
seven-spine bay shrimp,aquatic animals,,
sevengill shark,aquatic animals,,
serrated swimming crab,aquatic animals,,
senegalese sole,aquatic animals,,
semaphore rockfish,aquatic animals,,
scarlet squirrelfish,aquatic animals,,
scallop saucer,aquatic animals,,
sawtooth penshell,aquatic animals,,
sandpaper skate,aquatic animals,,
sand-divers,aquatic animals,,
sand tilefish,aquatic animals,,
sand drum,aquatic animals,,
sand diver,aquatic animals,,
sand crab,aquatic animals,,
san diego scallop,aquatic animals,,
sakura shrimp,aquatic animals,,
sailfin snapper,aquatic animals,,
sailfin flyingfish,aquatic animals,,
saffron cod,aquatic animals,,
saddleback snapper,aquatic animals,,
sacramento perch,aquatic animals,,
sabah grouper,aquatic animals,,
russian sturgeon,aquatic animals,,
rufous snapper,aquatic animals,,
ruby snapper,aquatic animals,,
roundel skate,aquatic animals,,
round whitefish,aquatic animals,,
round headed anchovy,aquatic animals,,
roughtail skate,aquatic animals,,
roughscale sole,aquatic animals,,
roughnose grenadier,aquatic animals,,
rougheye rockfish,aquatic animals,,
rough triggerfish,aquatic animals,,
rough leatherjacket,aquatic animals,,
rough keyhole limpet,aquatic animals,,
rosy rockfish,aquatic animals,,
roshna prawn,aquatic animals,,
rosette skate,aquatic animals,,
rosethorn rockfish,aquatic animals,,
rose snapper,aquatic animals,,
roe's abalone,aquatic animals,,
rock sea bass,aquatic animals,,
rock hind,aquatic animals,,
rock grenadier,aquatic animals,,
rock greenling,aquatic animals,,
rock flagtail,aquatic animals,,
rock crab,aquatic animals,,
rock beauty,aquatic animals,,
roanoke bass,aquatic animals,,
river carpsucker,aquatic animals,,
river bream,aquatic animals,,
ridley sea turtles,aquatic animals,,
ridged slipper lobster,aquatic animals,,
reef shark,aquatic animals,,
reef croaker,aquatic animals,,
redtailed mackerel scad,aquatic animals,,
redtail scad,aquatic animals,,
redstripe rockfish,aquatic animals,,
redspot emperor,aquatic animals,,
red-ribbed scallop,aquatic animals,,
redmouth grouper,aquatic animals,,
redear sunfish,aquatic animals,,
reddish scallop,aquatic animals,,
redbreast tilapia,aquatic animals,,
redbreast sunfish,aquatic animals,,
redbelly yellowtail fusilier,aquatic animals,,
redbanded rockfish,aquatic animals,,
red tail tinfoil,aquatic animals,,
red swimming crab,aquatic animals,,
red moki,aquatic animals,,
red lionfish,aquatic animals,,
red goatfish,aquatic animals,,
red claw crayfish,aquatic animals,,
red breast cichlid,aquatic animals,,
reba carp,aquatic animals,,
razor wrasse,aquatic animals,,
rayed mediterranean limpet,aquatic animals,,
ramcarat grenadier anchovy,aquatic animals,,
rainbow shrimp,aquatic animals,,
quillback rockfish,aquatic animals,,
queen triggerfish,aquatic animals,,
queen corvina,aquatic animals,,
queen angelfish,aquatic animals,,
pygmy rockfish,aquatic animals,,
purplespotted grouper,aquatic animals,,
purpleback flying squid,aquatic animals,,
purple mud crab,aquatic animals,,
purple keyhole limpet,aquatic animals,,
puget sound rockfish,aquatic animals,,
pourtale abalone,aquatic animals,,
pool barb,aquatic animals,,
pompano dolphin,aquatic animals,,
polar cod,aquatic animals,,
pointed-tailed goby,aquatic animals,,
plant limpet,aquatic animals,,
plain bonito,aquatic animals,,
pismo clam,aquatic animals,,
pinkrose rockfish,aquatic animals,,
pinkfinned roughy,aquatic animals,,
pink snapper,aquatic animals,,
pink shrimp,aquatic animals,,
pink rockfish,aquatic animals,,
pile perch,aquatic animals,,
perforated-scale sardine,aquatic animals,,
pen shell,aquatic animals,,
pelican flounder,aquatic animals,,
pelagic thresher shark,aquatic animals,,
pear whelk,aquatic animals,,
peacock flounder,aquatic animals,,
peacock cichlid,aquatic animals,,
patagonian scallop,aquatic animals,,
patagonian inshore squid,aquatic animals,,
patagonian flounder,aquatic animals,,
pastel cichlid,aquatic animals,,
parassi mullet,aquatic animals,,
paradise threadfin,aquatic animals,,
paper scallop,aquatic animals,,
panther flounder,aquatic animals,,
panamic grunt,aquatic animals,,
panamanian ilisha,aquatic animals,,
panama brief squid,aquatic animals,,
pama croaker,aquatic animals,,
paloma pompano,aquatic animals,,
palmetto bass,aquatic animals,,
pallid sturgeon,aquatic animals,,
pacuma toadfish,aquatic animals,,
pacific threadfin,aquatic animals,,
pacific sandperch,aquatic animals,,
pacific sanddab,aquatic animals,,
pacific pompano,aquatic animals,,
pacific moonfish,aquatic animals,,
pacific golden-eyed tilefish,aquatic animals,,
pacific electric ray,aquatic animals,,
pacific dog snapper,aquatic animals,,
pacific crevalle jack,aquatic animals,,
pacific chub mackerel,aquatic animals,,
pacific calico scallop,aquatic animals,,
pacific bluefin tuna,aquatic animals,,
pacific barracuda,aquatic animals,,
ozark bass,aquatic animals,,
oyster toadfish,aquatic animals,,
oriental sweetlips,aquatic animals,,
oriental sole,aquatic animals,,
oriental maori wrasse,aquatic animals,,
orange-spotted grouper,aquatic animals,,
orange-spotted emperor,aquatic animals,,
orangespot sardine,aquatic animals,,
orange scorpionfish,aquatic animals,,
orange mud crab,aquatic animals,,
orange filefish,aquatic animals,,
onespot snapper,aquatic animals,,
olympia oyster,aquatic animals,,
olive barb,aquatic animals,,
ohio shrimp,aquatic animals,,
ocellate skates,aquatic animals,,
oceanic puffer,aquatic animals,,
ocean whitefish,aquatic animals,,
ocean two-wing flyingfish,aquatic animals,,
ocean triggerfish,aquatic animals,,
ocean shrimp,aquatic animals,,
oblique-banded snapper,aquatic animals,,
oblique-banded grouper,aquatic animals,,
nucleus scallop,aquatic animals,,
northern searobin,aquatic animals,,
northern rockfish,aquatic animals,,
northern rock sole,aquatic animals,,
northern dogfish,aquatic animals,,
northern bastard codling,aquatic animals,,
north pacific spiny dogfish,aquatic animals,,
night smelt,aquatic animals,,
new zealand turbot,aquatic animals,,
new zealand common sole,aquatic animals,,
new zealand brill,aquatic animals,,
new jersey anchovy,aquatic animals,,
netfin grouper,aquatic animals,,
narrowtoothed shark,aquatic animals,,
narrowbanded sole,aquatic animals,,
namorado sandperch,aquatic animals,,
mutton hamlet,aquatic animals,,
murray river crayfish,aquatic animals,,
murray crab,aquatic animals,,
mullet snapper,aquatic animals,,
mud spiny lobster,aquatic animals,,
mud sole,aquatic animals,,
mud carp,aquatic animals,,
mozambique large-eye bream,aquatic animals,,
mottled grouper,aquatic animals,,
mottled cusk-eel,aquatic animals,,
mongrel daces,aquatic animals,,
mitre squid,aquatic animals,,
misty grouper,aquatic animals,,
milky spotted sole,aquatic animals,,
miiuy croaker,aquatic animals,,
midsize squid,aquatic animals,,
midnight snapper,aquatic animals,,
midas cichlid,aquatic animals,,
mexican scad,aquatic animals,,
mexican rockfish,aquatic animals,,
mexican goatfish,aquatic animals,,
mediterranean green crab,aquatic animals,,
mauvelip threadfin bream,aquatic animals,,
masked greenling,aquatic animals,,
marsh killifish,aquatic animals,,
marlin-spike,aquatic animals,,
margined flyingfish,aquatic animals,,
marbled puffer,aquatic animals,,
marbled grouper,aquatic animals,,
maori cod,aquatic animals,,
manybar goatfish,aquatic animals,,
mangrove red snapper,aquatic animals,,
mango tilapia,aquatic animals,,
mahogany snapper,aquatic animals,,
magpie morwong,aquatic animals,,
magistrate armhook squid,aquatic animals,,
maculated ivory whelk,aquatic animals,,
mackerel icefish,aquatic animals,,
lyrate hard clam,aquatic animals,,
lumpfish searobin,aquatic animals,,
longtail bass,aquatic animals,,
long-spined red bream,aquatic animals,,
longspined flathead,aquatic animals,,
longspine squirrelfish,aquatic animals,,
longspine porgy,aquatic animals,,
longspine grouper,aquatic animals,,
longnose skate,aquatic animals,,
longnose puffer,aquatic animals,,
longjaw cisco,aquatic animals,,
longfin tilapia,aquatic animals,,
longfin hake,aquatic animals,,
longfin codling,aquatic animals,,
long-barbel sheatfish,aquatic animals,,
littleneck clam,aquatic animals,,
lithodes crab,aquatic animals,,
lined scallop,aquatic animals,,
lesser spotted dogfish,aquatic animals,,
lesser spiny eel,aquatic animals,,
lesser silver smelt,aquatic animals,,
lesser electric ray,aquatic animals,,
lesser amberjack,aquatic animals,,
leopard toadfish,aquatic animals,,
lemon shark,aquatic animals,,
least puffer,aquatic animals,,
leaping bonito,aquatic animals,,
leaf barnacle,aquatic animals,,
latin grunt,aquatic animals,,
largetoothed flounder,aquatic animals,,
largescaled mullet,aquatic animals,,
largescale fat snook,aquatic animals,,
largerscaled grunter perch,aquatic animals,,
large razorbelly minnow,aquatic animals,,
lane snapper,aquatic animals,,
lake sturgeon,aquatic animals,,
kolibri shrimp,aquatic animals,,
king weakfish or weakfish,aquatic animals,,
kiddi shrimp,aquatic animals,,
key anchovy,aquatic animals,,
kelp rockfish,aquatic animals,,
kelp greenling,aquatic animals,,
kelp bass,aquatic animals,,
kadal shrimp,aquatic animals,,
jumbo squid,aquatic animals,,
jinga shrimp,aquatic animals,,
jenkins flyingfish,aquatic animals,,
japanese threadfin bream,aquatic animals,,
japanese sturgeon,aquatic animals,,
japanese sillago,aquatic animals,,
japanese seer,aquatic animals,,
japanese seaperch,aquatic animals,,
japanese scaled sardine,aquatic animals,,
japanese icefish,aquatic animals,,
japanese freshwater crab,aquatic animals,,
japanese fan lobster,aquatic animals,,
japanese croaker,aquatic animals,,
japanese barracuda,aquatic animals,,
jamacian weakfish,aquatic animals,,
jack-knife prawn,aquatic animals,,
jackknife clam,aquatic animals,,
jack mackerel,aquatic animals,,
irish pompano,aquatic animals,,
inshore lizardfish,aquatic animals,,
indian threadfish,aquatic animals,,
indian squid,aquatic animals,,
indian river shad,aquatic animals,,
indian potasi,aquatic animals,,
indian pellona,aquatic animals,,
indian ocean spiny halibut,aquatic animals,,
indian ilisha,aquatic animals,,
humpy shrimp,aquatic animals,,
humpnose big-eye bream,aquatic animals,,
humphead wrasse,aquatic animals,,
hospe mullet,aquatic animals,,
hornyhead turbot,aquatic animals,,
hooked surfclam,aquatic animals,,
hong kong grouper,aquatic animals,,
honeycomb rockfish,aquatic animals,,
honey comb moray,aquatic animals,,
highfin grouper,aquatic animals,,
hemphill surfclam,aquatic animals,,
hawaiian spiny lobster,aquatic animals,,
hawaiian ladyfish,aquatic animals,,
hawaiian grouper,aquatic animals,,
hawaiian aholehole,aquatic animals,,
hatchet surfclam,aquatic animals,,
harlequin sweetlips,aquatic animals,,
harlequin rockfish,aquatic animals,,
halfmoon grouper,aquatic animals,,
halfbanded rockfish,aquatic animals,,
gulf toadfish,aquatic animals,,
gulf hake,aquatic animals,,
gulf grouper,aquatic animals,,
gulf flounder,aquatic animals,,
gulf corvina,aquatic animals,,
gulf butterfish,aquatic animals,,
guinean threadfin,aquatic animals,,
guadalupe bass,aquatic animals,,
grooved carpet shell,aquatic animals,,
grey featherback,aquatic animals,,
greenstriped rockfish,aquatic animals,,
greenspotted rockfish,aquatic animals,,
greenlip abalone,aquatic animals,,
greenblotched rockfish,aquatic animals,,
greenback flounder,aquatic animals,,
green weakfish,aquatic animals,,
green sunfish,aquatic animals,,
green spiny lobster,aquatic animals,,
green sea turtle,aquatic animals,,
green crab,aquatic animals,,
greater sand-eel,aquatic animals,,
great silver smelt,aquatic animals,,
great sandeel,aquatic animals,,
great barracuda,aquatic animals,,
gray triggerfish,aquatic animals,,
gray reef shark,aquatic animals,,
gray angelfish,aquatic animals,,
grass rockfish,aquatic animals,,
grass porgy,aquatic animals,,
grand razor shell,aquatic animals,,
gopher rockfish,aquatic animals,,
goldface tilefish,aquatic animals,,
golden trevally,aquatic animals,,
golden shrimp,aquatic animals,,
golden pomfret,aquatic animals,,
golden deepsea crab,aquatic animals,,
golden cuttlefish,aquatic animals,,
golden carpet shell,aquatic animals,,
goldband fusilier,aquatic animals,,
gold saddle goatfish,aquatic animals,,
gilthead bream,aquatic animals,,
gilded catfish,aquatic animals,,
giant swimming crab,aquatic animals,,
giant snake eel,aquatic animals,,
giant scallop,aquatic animals,,
giant red sea urchin,aquatic animals,,
giant grouper,aquatic animals,,
giant gamba prawn,aquatic animals,,
giant featherback,aquatic animals,,
giant african snail,aquatic animals,,
ganges river sprat,aquatic animals,,
gafftopsail pompano,aquatic animals,,
freshwater garfish,aquatic animals,,
freshwater crayfish,aquatic animals,,
freshwater clam,aquatic animals,,
french grunt,aquatic animals,,
french angelfish,aquatic animals,,
freckled rockfish,aquatic animals,,
fragile surfclam,aquatic animals,,
fourwing flyingfish,aquatic animals,,
fourspot megrim,aquatic animals,,
fourspot flounder,aquatic animals,,
four-sided sea cucumber,aquatic animals,,
fourfinger threadfin,aquatic animals,,
fork-tailed threadfin bream,aquatic animals,,
flathead locust lobster,aquatic animals,,
flathead catfish,aquatic animals,,
flathead captainfish,aquatic animals,,
flat surfclam,aquatic animals,,
flat head sillago,aquatic animals,,
flat bullhead,aquatic animals,,
flat anchovy,aquatic animals,,
flag rockfish,aquatic animals,,
fivespot flounder,aquatic animals,,
finetooth shark,aquatic animals,,
finescale menhaden,aquatic animals,,
filamentous saury,aquatic animals,,
fawn cusk-eel,aquatic animals,,
fat snook,aquatic animals,,
fat gaper,aquatic animals,,
farrer's scallop,aquatic animals,,
false trevallies or milkfishes,aquatic animals,,
false pilchard,aquatic animals,,
eyed flounder,aquatic animals,,
european squid,aquatic animals,,
european spider crab,aquatic animals,,
european horse mackerel,aquatic animals,,
eastern spiny lobster,aquatic animals,,
eastern shiners,aquatic animals,,
dwarf-red rockfish,aquatic animals,,
dwarf sturgeon,aquatic animals,,
dwarf goatfish,aquatic animals,,
dwarf bobtail squid,aquatic animals,,
dusty tail grouper,aquatic animals,,
dusky rockfish,aquatic animals,,
dusky grouper,aquatic animals,,
dusky anchovy,aquatic animals,,
double-lined mackerel,aquatic animals,,
dotted gizzard shad,aquatic animals,,
dot-dash grouper,aquatic animals,,
dorab wolf-herring,aquatic animals,,
donkey dung sea cucumber,aquatic animals,,
donkey croaker,aquatic animals,,
dogtooth tuna,aquatic animals,,
dog snapper,aquatic animals,,
dish surfclam,aquatic animals,,
diamond turbot,aquatic animals,,
delta smelt,aquatic animals,,
delagoa threadfin bream,aquatic animals,,
deepwater flathead,aquatic animals,,
deep-water cape hake,aquatic animals,,
deepsea sole,aquatic animals,,
deepsea smelt,aquatic animals,,
deepsea crab,aquatic animals,,
deepbody anchovy,aquatic animals,,
decussate bittersweet,aquatic animals,,
darkblotched rockfish,aquatic animals,,
dark ghost shark,aquatic animals,,
cuvier's flyingfish,aquatic animals,,
curlfin sole,aquatic animals,,
cubera snapper,aquatic animals,,
crimson snapper,aquatic animals,,
crevalle jack,aquatic animals,,
cownose ray,aquatic animals,,
cottonmouth jack,aquatic animals,,
cortez swimming crab,aquatic animals,,
cortez halibut,aquatic animals,,
copper rockfish,aquatic animals,,
coonstriped shrimp,aquatic animals,,
common thresher shark,aquatic animals,,
common puffers,aquatic animals,,
common pandora,aquatic animals,,
common japanese scallop,aquatic animals,,
comet grouper,aquatic animals,,
comb grouper,aquatic animals,,
clearwing flyingfish,aquatic animals,,
clearnose skate,aquatic animals,,
cinnamon river shrimp,aquatic animals,,
cholga mussel,aquatic animals,,
chocolate hind,aquatic animals,,
chinese white shrimp,aquatic animals,,
chinese paddlefish,aquatic animals,,
chinese edible frog,aquatic animals,,
china rockfish,aquatic animals,,
chilean sandperch,aquatic animals,,
chilean oyster,aquatic animals,,
chilean mussel,aquatic animals,,
chevron tailed grouper,aquatic animals,,
chevron snakehead,aquatic animals,,
checkered puffer,aquatic animals,,
channeled whelk,aquatic animals,,
chameleon rockfish,aquatic animals,,
centolla crab,aquatic animals,,
carolina hake,aquatic animals,,
caribbean winged surfclam,aquatic animals,,
caribbean reef squid,aquatic animals,,
cardinal snapper,aquatic animals,,
cape horn squid,aquatic animals,,
cannonball jellyfish,aquatic animals,,
camouflage grouper,aquatic animals,,
california surfclam,aquatic animals,,
california spiny lobster,aquatic animals,,
california skate,aquatic animals,,
california market squid,aquatic animals,,
california flyingfish,aquatic animals,,
california flounder,aquatic animals,,
calico rockfish,aquatic animals,,
caesar grunt,aquatic animals,,
burro grunt,aquatic animals,,
burrito grunt,aquatic animals,,
bullseye puffer,aquatic animals,,
bullnose ray,aquatic animals,,
bull shark,aquatic animals,,
brownband morwong,aquatic animals,,
brown sweetlips,aquatic animals,,
brown surgeonfish,aquatic animals,,
brown smoothhound,aquatic animals,,
brown rockfish,aquatic animals,,
brown moray,aquatic animals,,
brown hoplo,aquatic animals,,
brown bullhead,aquatic animals,,
brown box crab,aquatic animals,,
broomtail grouper,aquatic animals,,
bronzespotted rockfish,aquatic animals,,
broad flounder,aquatic animals,,
bridled grouper,aquatic animals,,
brazilian slipper lobster,aquatic animals,,
bonga shad,aquatic animals,,
bluntnose flyingfish,aquatic animals,,
blunthead puffer,aquatic animals,,
blunt slipper lobster,aquatic animals,,
bluestriped snapper,aquatic animals,,
bluestriped grunt,aquatic animals,,
bluespotted goatfish,aquatic animals,,
blue-lined leatherjacket,aquatic animals,,
blue-lined large-eye bream,aquatic animals,,
blueline tilefish,aquatic animals,,
blue-barred parrotfish,aquatic animals,,
blue tilefish,aquatic animals,,
blue tang,aquatic animals,,
blue sucker,aquatic animals,,
blue spiny lobster,aquatic animals,,
blue parrotfish,aquatic animals,,
blue morwong,aquatic animals,,
blue croaker,aquatic animals,,
blue antimora,aquatic animals,,
blue angelfish,aquatic animals,,
blubberlip snapper,aquatic animals,,
blotchwing flyingfish,aquatic animals,,
bloodred snapper,aquatic animals,,
blackwing flyingfish,aquatic animals,,
blacktip shark,aquatic animals,,
blacktip reef shark,aquatic animals,,
blacktip grouper,aquatic animals,,
blacktail snapper,aquatic animals,,
blackstripe wrasse,aquatic animals,,
blackspotted croaker,aquatic animals,,
blackspot threadfin,aquatic animals,,
blacknose shark,aquatic animals,,
blackmouth croaker,aquatic animals,,
blackmouth bass,aquatic animals,,
blackgill rockfish,aquatic animals,,
blackfin monkfish,aquatic animals,,
blackedge cusk-eel,aquatic animals,,
blackchin tilapia,aquatic animals,,
black sweetlips,aquatic animals,,
black sea salmon,aquatic animals,,
black marlin,aquatic animals,,
black jack,aquatic animals,,
black grunt,aquatic animals,,
black grouper,aquatic animals,,
black flounder,aquatic animals,,
black dogfish,aquatic animals,,
black croaker,aquatic animals,,
black butterfish,aquatic animals,,
black bullhead,aquatic animals,,
black buffalo,aquatic animals,,
black and white snapper,aquatic animals,,
black & yellow rockfish,aquatic animals,,
bigtooth corvina,aquatic animals,,
big-scale smelt,aquatic animals,,
bigscale goatfish,aquatic animals,,
bignose shark,aquatic animals,,
bigmouth flounder,aquatic animals,,
bigmouth buffalo,aquatic animals,,
bigfin reef squid,aquatic animals,,
bigeye trevally,aquatic animals,,
bigeye thresher shark,aquatic animals,,
bigeye squid,aquatic animals,,
bermuda chub,aquatic animals,,
bering wolffish,aquatic animals,,
bering flounder,aquatic animals,,
bent surfclam,aquatic animals,,
bearded worm goby,aquatic animals,,
bearded horse mussel,aquatic animals,,
bat ray,aquatic animals,,
basking shark,aquatic animals,,
barred sand bass,aquatic animals,,
barndoor skate,aquatic animals,,
bank sea bass,aquatic animals,,
bandwing flyingfish,aquatic animals,,
banded guitarfish,aquatic animals,,
banded grouper,aquatic animals,,
banded carpet shell,aquatic animals,,
australian pilchard,aquatic animals,,
aurora rockfish,aquatic animals,,
atlantic threadfin,aquatic animals,,
atlantic sturgeon,aquatic animals,,
atlantic sea raven,aquatic animals,,
atlantic scallop,aquatic animals,,
atlantic moonfish,aquatic animals,,
atlantic lyre crab,aquatic animals,,
atlantic guitarfish,aquatic animals,,
atlantic flyingfish,aquatic animals,,
atlantic emperor,aquatic animals,,
atlantic chub mackerel,aquatic animals,,
atlantic brief squid,aquatic animals,,
atka mackerel,aquatic animals,,
armored searobin,aquatic animals,,
argentinian sandperch,aquatic animals,,
argentine croaker,aquatic animals,,
arctic surfclam,aquatic animals,,
arctic flounder,aquatic animals,,
arched swimming crab,aquatic animals,,
araucanian herring,aquatic animals,,
antarctic butterfish,aquatic animals,,
angulate volute,aquatic animals,,
angola flying squid,aquatic animals,,
amur sturgeon,aquatic animals,,
amu darya sturgeon,aquatic animals,,
amberstripe scad,aquatic animals,,
almaco jack,aquatic animals,,
alligator gar,aquatic animals,,
aleutian skate,aquatic animals,,
alaska skate,aquatic animals,,
alabama shad,aquatic animals,,
agugu mullet,aquatic animals,,
african ilisha,aquatic animals,,
african forktail snapper,aquatic animals,,
vegetable protein,animal feed,,
treat nibblets,animal feed,,
silage mixture,animal feed,,
rawhide,animal feed,,
puppy food,animal feed,,
poultry meal,animal feed,,
pork ear,animal feed,,
porcine pig ears,animal feed,,
pizzle stick,animal feed,,
pizzle,animal feed,,
pig ears,animal feed,,
pig ear,animal feed,,
petite treat,animal feed,,
pet treats,animal feed,,
pet treat,animal feed,,
pet foods,animal feed,,
pet food,animal feed,,
natural pig ears,animal feed,,
meat for dog,animal feed,,
hog meal,animal feed,,
high oil,animal feed,,
for pets,animal feed,,
for pet,animal feed,,
for dogs,animal feed,,
for dog,animal feed,,
for cow,animal feed,,
for cats,animal feed,,
for cat,animal feed,,
for animal,animal feed,,
feeding stuff,animal feed,,
feed,animal feed,,
feather meal,animal feed,,
feather,animal feed,,
dried pork ears,animal feed,,
dried pig ears,animal feed,,
dog treats,animal feed,,
dog treat,animal feed,,
dog foods,animal feed,,
dog food,animal feed,,
cottonseed feed,animal feed,,
chicken blend,animal feed,,
cattle supplement,animal feed,,
cattle feed,animal feed,,
cat treats,animal feed,,
cat treat,animal feed,,
cat foods,animal feed,,
cat food,animal feed,,
canine rabbit patty,animal feed,,
by product,animal feed,,
bull pizzle,animal feed,,
bulk pig ears,animal feed,,
blend for dog,animal feed,,
blend for cat,animal feed,,
bird food,animal feed,,
beef formula,animal feed,,
