african clawed frog,FOODON_CandidateTerm_Wikipedia_1,"The African clawed frog (Xenopus laevis, also known as the xenopus, African clawed toad, African claw-toed frog or the platanna) is a species of African aquatic frog of the Pipidae family.'""}",,FOODON_CandidateTerm_Wikipedia_African_clawed_frog
arnica montana,FOODON_CandidateTerm_Wikipedia_3,"""Arnica montana, also known as wolf\'s bane, leopard\'s bane, mountain tobacco and mountain arnica, is a moderately toxic ethnobotanical European flowering plant in the sunflower family.""'}",,FOODON_CandidateTerm_Wikipedia_Arnica_montana
ball python,FOODON_CandidateTerm_Wikipedia_4,"The ball python (Python regius), also known as the royal python, is a python species found in sub-Saharan Africa.'""}",,FOODON_CandidateTerm_Wikipedia_Ball_python
banana leaf,FOODON_CandidateTerm_Wikipedia_5,"Banana leaves have a wide range of applications because they are large, flexible, waterproof and decorative.",,FOODON_CandidateTerm_Wikipedia_Banana_leaf
black drum,FOODON_CandidateTerm_Wikipedia_10,"The black drum (Pogonias cromis), also known as ""Blue Drum"" for its dark and hint of blue color, is a saltwater fish similar to its cousin, the red drum.\''}",,FOODON_CandidateTerm_Wikipedia_Black_drum
blood culture,FOODON_CandidateTerm_Wikipedia_11,Blood culture is a microbiological culture of blood.,,FOODON_CandidateTerm_Wikipedia_Blood_culture
blue mackerel,FOODON_CandidateTerm_Wikipedia_13,"The blue mackerel, Japanese mackerel, Pacific mackerel, slimy mackerel, or spotted chub mackerel (Scomber australasicus) is a fish of the family Scombridae, found in tropical and subtropical waters of the Pacific Ocean from Japan south to Australia and New Zealand, in the eastern Pacific (Hawaii and Socorro Island, Mexico), and the Indo-West Pacific",,FOODON_CandidateTerm_Wikipedia_Blue_mackerel
boa constrictor,FOODON_CandidateTerm_Wikipedia_15,"The boa constrictor (Boa constrictor), also called the red-tailed boa or the common boa, is a species of large, heavy-bodied snake that is frequently kept and bred in captivity.'""}",,FOODON_CandidateTerm_Wikipedia_Boa_constrictor
boiga dendrophila,FOODON_CandidateTerm_Wikipedia_17,"Boiga dendrophila, commonly called the mangrove snake or gold-ringed cat snake, is a species of rear-fanged colubrid from southeast Asia.'""}",,FOODON_CandidateTerm_Wikipedia_Boiga_dendrophila
calf lymph,FOODON_CandidateTerm_Wikipedia_19,"Calf lymph was the name given to a type of smallpox vaccine used in the 19th century, and which was still manufactured up to the 1970s.",,FOODON_CandidateTerm_Wikipedia_Calf_lymph
cheese cracker,FOODON_CandidateTerm_Wikipedia_23,"The cheese cracker is a type of cracker prepared using cheese as a main ingredient.'""}",,FOODON_CandidateTerm_Wikipedia_Cheese_cracker
cheese roll,FOODON_CandidateTerm_Wikipedia_24,"A cheese roll (occasionally known by the older name of Cheese roll-up) is a snack food similar to Welsh rarebit, but created by covering a slice of bread in a prepared filling consisting mainly of grated or sliced cheese, and then rolling it into a tube shape before toasting.'""}",,FOODON_CandidateTerm_Wikipedia_Cheese_roll
chicken kiev,FOODON_CandidateTerm_Wikipedia_27," kotleta po-kyivsky, Russian",,FOODON_CandidateTerm_Wikipedia_Chicken_Kiev:b\'Chicken Kiev 
chicken manure,FOODON_CandidateTerm_Wikipedia_28,"Chicken manure is the feces of chickens used as an organic fertilizer, especially for soil low in nitrogen.'""}",,FOODON_CandidateTerm_Wikipedia_Chicken_manure
chicken meal,FOODON_CandidateTerm_Wikipedia_29,"Chicken meal is the dry rendered product from a combination of clean chicken flesh and skin with or without accompanying bone, derived from whole carcasses of chicken, exclusive of feathers, heads, feet and entrails.'""}",,FOODON_CandidateTerm_Wikipedia_Chicken_meal
chicken strip,FOODON_CandidateTerm_Wikipedia_32,"Chicken Strip is an uncharted 1,350-foot dirt strip that provides fly-in access to the warm springs area of Death Valley National Park.'""}",,FOODON_CandidateTerm_Wikipedia_Chicken_Strip
coconut candy,FOODON_CandidateTerm_Wikipedia_34,Coconut candy refer to various candies made with coconut or coconut flavorings.,,FOODON_CandidateTerm_Wikipedia_Coconut_candy
coconut chutney,FOODON_CandidateTerm_Wikipedia_35,"Coconut chutney is a South Indian chutney-side-dish and condiment, a common in South Indian states.'""}",,FOODON_CandidateTerm_Wikipedia_Coconut_chutney
common redpoll,FOODON_CandidateTerm_Wikipedia_36,"The common redpoll (Acanthis flammea) is a species of bird in the finch family.'""}",,FOODON_CandidateTerm_Wikipedia_Common_redpoll
condensed milk,FOODON_CandidateTerm_Wikipedia_37,Condensed milk is cow\'s milk from which water has been removed.'},,FOODON_CandidateTerm_Wikipedia_Condensed_milk
corn snake,FOODON_CandidateTerm_Wikipedia_40,"The corn snake (Pantherophis guttatus) is a North American species of rat snake that subdues its small prey by constriction.'""}",,FOODON_CandidateTerm_Wikipedia_Corn_snake
cornish chicken,FOODON_CandidateTerm_Wikipedia_41,"The Cornish or Indian Game is a breed of chicken from the county of Cornwall in England.'""}",,FOODON_CandidateTerm_Wikipedia_Cornish_chicken
diporiphora winneckei,FOODON_CandidateTerm_Wikipedia_46,"(https://en.wikipedia.org/wiki/Diporiphora_winneckei):b""Diporiphora winneckei (the canegrass dragon, blue-lined dragon or Winnecke\'s two-pored dragon) is a small, terrestrial, diurnal (active during the day) lizard endemic to Australia.""'}",,FOODON_CandidateTerm_Wikipedia_Diporiphora_winneckei
egg salad,FOODON_CandidateTerm_Wikipedia_50,"Egg salad is part of a tradition of salads involving a protein mixed with seasonings in the form of herbs, spices, and other foods, and bound with mayonnaise.",,FOODON_CandidateTerm_Wikipedia_Egg_salad
energy bar,FOODON_CandidateTerm_Wikipedia_52,"Energy bars are supplemental bars containing cereals and other high energy foods targeted at people who require quick energy but do not have time for a meal.'""}",,FOODON_CandidateTerm_Wikipedia_Energy_bar
european badger,FOODON_CandidateTerm_Wikipedia_53,"The European badger (Meles meles) also known as the Eurasian badger or simply badger, is a species of badger in the family Mustelidae and is native to almost all of Europe and some parts of West Asia.'""}",,FOODON_CandidateTerm_Wikipedia_European_badger
european cucumber,FOODON_CandidateTerm_Wikipedia_54,"(https://en.wikipedia.org/wiki/European_cucumber):b\'The European cucumber (also known as English cucumber, burpless cucumber, hothouse cucumber, seedless cucumber, gourmet cucumber or greenhouse cucumber,) is a variety of ""seedless"" cucumber that is longer and slimmer than other varieties of cucumber.\''}",,FOODON_CandidateTerm_Wikipedia_European_cucumber
farm water,FOODON_CandidateTerm_Wikipedia_55,"Farm water, also known as agricultural water, is water committed for use in the production of food and fiber.'""}",,FOODON_CandidateTerm_Wikipedia_Farm_water
feather meal,FOODON_CandidateTerm_Wikipedia_56,"Feather meal is a byproduct of processing poultry; it is made from poultry feathers by partially grinding them under elevated heat and pressure, and then grinding and drying.'""}",,FOODON_CandidateTerm_Wikipedia_Feather_meal
feed grain,FOODON_CandidateTerm_Wikipedia_57,"Feed grain is any grain used for livestock feed, including corn, grain sorghum, oats, rye, and barley.'""}",,FOODON_CandidateTerm_Wikipedia_Feed_grain
floor drain,FOODON_CandidateTerm_Wikipedia_59,"A floor drain is a plumbing fixture that is installed in the floor of a structure, mainly designed to remove any standing water near it.'""}",,FOODON_CandidateTerm_Wikipedia_Floor_drain
flying squirrel,FOODON_CandidateTerm_Wikipedia_60,"Flying squirrels (scientifically known as Pteromyini or Petauristini) are a tribe of 45 species of squirrels in the family Sciuridae.'""}",,FOODON_CandidateTerm_Wikipedia_Flying_squirrel
foxtail millet,FOODON_CandidateTerm_Wikipedia_61,Foxtail millet (Chinese,,FOODON_CandidateTerm_Wikipedia_Foxtail_millet
freshwater shark,FOODON_CandidateTerm_Wikipedia_63,"Freshwater sharks are sharks able to live in freshwater lakes and rivers, including:\\nthe river sharks, Glyphis, true freshwater sharks found in fresh and brackish water in Asia and Australia\\nthe bull shark, Carcharhinus leucas, which can swim between salt and fresh water, and are found in tropical rivers around the world.'""}",,FOODON_CandidateTerm_Wikipedia_Freshwater_shark
frozen banana,FOODON_CandidateTerm_Wikipedia_65,"Frozen bananas are desserts made by placing a banana upon a stick, freezing it, and usually dipping it in melted chocolate.'""}",,FOODON_CandidateTerm_Wikipedia_Frozen_banana
frozen head,FOODON_CandidateTerm_Wikipedia_66,"Frozen Head is a mountain in Morgan County, Tennessee.'""}",,FOODON_CandidateTerm_Wikipedia_Frozen_Head
frozen river,FOODON_CandidateTerm_Wikipedia_67,"Frozen River is a 2008 American crime drama film written and directed by Courtney Hunt.'""}",,FOODON_CandidateTerm_Wikipedia_Frozen_River
garam masala,FOODON_CandidateTerm_Wikipedia_68,", Punjabi",,FOODON_CandidateTerm_Wikipedia_Garam_masala
garter snake,FOODON_CandidateTerm_Wikipedia_69,"Garter snake, garden snake, gardener snake, and ribbon snake are some of the common names for the nearly harmless, small to medium-sized snakes belonging to the genus Thamnophis.'""}",,FOODON_CandidateTerm_Wikipedia_Garter_snake
goat cheese,FOODON_CandidateTerm_Wikipedia_71,"""Goat cheese, goats\' cheese, or ch\\xc3\\xa8vre ( or ; from the French word for goat), is cheese made from goat\'s milk.""'}",,FOODON_CandidateTerm_Wikipedia_Goat_cheese
granny smith,FOODON_CandidateTerm_Wikipedia_73,":b""The \'Granny Smith\' is a tip-bearing apple cultivar, which originated in Australia in 1868.""'}",,FOODON_CandidateTerm_Wikipedia_Granny_Smith
grey mullet,FOODON_CandidateTerm_Wikipedia_76,"Grey mullet can mean any of several fish in the family Mugilidae (the mullets) and having a greyish hue found in the Mediterranean sea:'""}",,FOODON_CandidateTerm_Wikipedia_Grey_mullet
harbour porpoise,FOODON_CandidateTerm_Wikipedia_79,"The harbour porpoise (Phocoena phocoena) is one of six species of porpoise.'""}",,FOODON_CandidateTerm_Wikipedia_Harbour_porpoise
house sparrow,FOODON_CandidateTerm_Wikipedia_82,"The house sparrow (Passer domesticus) is a bird of the sparrow family Passeridae, found in most parts of the world.'""}",,FOODON_CandidateTerm_Wikipedia_House_sparrow
hydrolyzed vegetable protein,FOODON_CandidateTerm_Wikipedia_83,"Hydrolyzed vegetable protein (HVP) products are foodstuffs obtained by protein hydrolysis and are used as ingredients with an authentic bouillon (broth) taste.'""}",,FOODON_CandidateTerm_Wikipedia_Hydrolyzed_vegetable_protein
indian celery,FOODON_CandidateTerm_Wikipedia_85,"Indian celery is a common name for several plants and may refer to:'""}",,FOODON_CandidateTerm_Wikipedia_Indian_celery
instant tea,FOODON_CandidateTerm_Wikipedia_89,"Instant tea is a powder that water is added to in order to be reconstituted into a cup of tea.'""}",,FOODON_CandidateTerm_Wikipedia_Instant_tea
manchow soup,FOODON_CandidateTerm_Wikipedia_99,"Manchow soup is a soup popular in Indian Chinese cuisine due to its ease of preparation and hot spicy taste.'""}",,FOODON_CandidateTerm_Wikipedia_Manchow_soup
mustard seed,FOODON_CandidateTerm_Wikipedia_109,Mustard seeds are the small round seeds of various mustard plants.',,FOODON_CandidateTerm_Wikipedia_Mustard_seed
ocellated lizard,FOODON_CandidateTerm_Wikipedia_113,"The ocellated lizard, eyed lizard or jeweled lacerta in the pet trade (Timon lepidus) (syn.'""}",,FOODON_CandidateTerm_Wikipedia_Ocellated_lizard
palak paneer,FOODON_CandidateTerm_Wikipedia_115,"Palak paneer (pronounced [pa\\xcb\\x90l\\xc9\\x99k p\\xc9\\x99ni\\xcb\\x90r]) is a vegetarian dish from the Indian Subcontinent, consisting of paneer in a thick paste made from pur\\xc3\\xa9ed spinach and seasoned with garlic, garam masala, and other spices.",,FOODON_CandidateTerm_Wikipedia_Palak_paneer
paneer tikka,FOODON_CandidateTerm_Wikipedia_116,"Paneer tikka is an Indian dish made from chunks of paneer marinated in spices and grilled in a tandoor.'""}",,FOODON_CandidateTerm_Wikipedia_Paneer_tikka
pear tomato,FOODON_CandidateTerm_Wikipedia_117,"Pear tomato or Corn Seed is the common name for any one in a group of indeterminate heirloom tomatoes.'""}",,FOODON_CandidateTerm_Wikipedia_Pear_tomato
pecan truffle,FOODON_CandidateTerm_Wikipedia_118,"Tuber lyonii, also known as the American Brown Truffle or the Pecan Truffle, is a species of truffle native to North America.'""}",,FOODON_CandidateTerm_Wikipedia_Pecan_truffle
"pepita de calabaza, ""little seed of squash""), is the edible seed of a pumpkin or certain other cultivars of squash.'",FOODON_CandidateTerm_Wikipedia_119,,,
pine siskin,FOODON_CandidateTerm_Wikipedia_123,"The pine siskin (Spinus pinus) is a North American bird in the finch family.'""}",,FOODON_CandidateTerm_Wikipedia_Pine_siskin
popcorn chicken,FOODON_CandidateTerm_Wikipedia_126,"Popcorn Chicken is a KFC product consisting of small, ""bite-sized"" pieces of chicken that have been breaded and fried.\''}",,FOODON_CandidateTerm_Wikipedia_Popcorn_Chicken
poppy seed,FOODON_CandidateTerm_Wikipedia_127,"Poppy seed is an oilseed obtained from the poppy (Papaver somniferum).'""}",,FOODON_CandidateTerm_Wikipedia_Poppy_seed
puffed rice,FOODON_CandidateTerm_Wikipedia_128,"Puffed rice is a type of puffed grain from the Indian subcontinent, made from rice, commonly used in breakfast cereal or snack foods, and served as a popular street food in India, Bangladesh and Nepal.'""}",,FOODON_CandidateTerm_Wikipedia_Puffed_rice
purple finch,FOODON_CandidateTerm_Wikipedia_129,"\\n== The purple finch (Haemorhous purpureus) is a bird in the finch family, Fringillidae. =='""}",,FOODON_CandidateTerm_Wikipedia_Purple_finch
raw material,FOODON_CandidateTerm_Wikipedia_130,"A raw material, also known as a feedstock or most correctly unprocessed material, is a basic material that is used to produce goods, finished products, energy, or intermediate materials which are feedstock for future finished products.'""}",,FOODON_CandidateTerm_Wikipedia_Raw_material
red junglefowl,FOODON_CandidateTerm_Wikipedia_135,"The red junglefowl (Gallus gallus) is a tropical member of the family Phasianidae.'""}",,FOODON_CandidateTerm_Wikipedia_Red_junglefowl
red meat,FOODON_CandidateTerm_Wikipedia_136,"Commonly, especially in gastronomy, red meat is red when raw and dark in color when cooked, in contrast to white meat which is pale in color before and after cooking and dark meat which is dark when cooked.'""}",,FOODON_CandidateTerm_Wikipedia_Red_meat
reticulated python,FOODON_CandidateTerm_Wikipedia_137,"The reticulated python (Python reticulatus) is a species of python found in Southeast Asia.'""}",,FOODON_CandidateTerm_Wikipedia_Reticulated_python
root ball,FOODON_CandidateTerm_Wikipedia_141,"A root ball is the main mass of roots at the base of a plant such as a shrub or tree.'""}",,FOODON_CandidateTerm_Wikipedia_Root_ball
sea perch,FOODON_CandidateTerm_Wikipedia_146,"Sea perch, sea-perch or seaperch are the common names of various fishes, including:'""}",,FOODON_CandidateTerm_Wikipedia_Sea_perch
septic tank,FOODON_CandidateTerm_Wikipedia_149,"A septic tank is a watertight chamber made of concrete, fiberglass, PVC or plastic, through which domestic wastewater (sewage) flows for primary treatment.'""}",,FOODON_CandidateTerm_Wikipedia_Septic_tank
sheer khurma,FOODON_CandidateTerm_Wikipedia_151,"Sheer khurma or Sheer khorma (Persian, literally ""milk with dates"" in Persian, is a festival vermicelli pudding prepared by Muslims on Eid ul-Fitr and Eid al-Adha in Afghanistan, India, Pakistan, Bangladesh and parts of Central Asia.\''}",,FOODON_CandidateTerm_Wikipedia_Sheer_khurma
snow leopard,FOODON_CandidateTerm_Wikipedia_155,"The snow leopard or ounce (Panthera uncia) is a large cat native to the mountain ranges of Central and South Asia.'""}",,FOODON_CandidateTerm_Wikipedia_Snow_leopard
soan papdi,FOODON_CandidateTerm_Wikipedia_156,"Soan papdi (also known as patisa, son papri, sohan papdi or shonpapri)  is a popular North Indian dessert.'""}",,FOODON_CandidateTerm_Wikipedia_Soan_papdi
spring roll,FOODON_CandidateTerm_Wikipedia_161,"Spring rolls are a large variety of filled, rolled appetizers or dim sum found in East Asian and Southeast Asian cuisine.'""}",,FOODON_CandidateTerm_Wikipedia_Spring_roll
string cheese,FOODON_CandidateTerm_Wikipedia_162,"String cheese refers to several different types of cheese where the manufacturing process aligns the proteins in the cheese, which makes it stringy.'""}",,FOODON_CandidateTerm_Wikipedia_String_cheese
sunflower seed,FOODON_CandidateTerm_Wikipedia_164,The sunflower seed is the fruit of the sunflower (Helianthus annuus).',,FOODON_CandidateTerm_Wikipedia_Sunflower_seed
threadfin bream,FOODON_CandidateTerm_Wikipedia_169,"The threadfin breams consist of the family Nemipteridae within the order Perciformes.'""}",,FOODON_CandidateTerm_Wikipedia_Threadfin_bream
tiliqua rugosa,FOODON_CandidateTerm_Wikipedia_170,"Tiliqua rugosa is a short-tailed, slow moving species of blue-tongued skink found in Australia.'""}",,FOODON_CandidateTerm_Wikipedia_Tiliqua_rugosa
walking fish,FOODON_CandidateTerm_Wikipedia_173,"A walking fish, or ambulatory fish, is a fish that is able to travel over land for extended periods of time.'""}",,FOODON_CandidateTerm_Wikipedia_Walking_fish
water chiller,FOODON_CandidateTerm_Wikipedia_174,"A water chiller is a mechanical device used to facilitate heat exchange from water to a refrigerant in a closed loop system.'""}",,FOODON_CandidateTerm_Wikipedia_Water_chiller
water filter,FOODON_CandidateTerm_Wikipedia_175,"A water filter removes impurities by lowering contamination of water using a fine physical barrier, a chemical process, or a biological process.",,FOODON_CandidateTerm_Wikipedia_Water_filter
white lotus,FOODON_CandidateTerm_Wikipedia_177,The White Lotus (simplified Chinese; traditional Chinese,,FOODON_CandidateTerm_Wikipedia_White_Lotus
yellow strip,FOODON_CandidateTerm_Wikipedia_183,"Yellow strip price or touch price is a term used in the UK stock market(LSE) by Market makers for the highest bid price or lowest offer price, shown on the SEAQ or SETS screen in a yellow strip.'""}",,FOODON_CandidateTerm_Wikipedia_Yellow_strip
